Vendor ID,Vendor Name,Technology Type,Cost (€),Energy Savings (%),Vendor Location,Contract Duration (Months),Technology ROI (%),Installation Time (Days),Maintenance Cost (€/Year),Vendor Rating (1-5),Technology Lifespan (Years),Carbon Reduction (kg CO2/Year),Vendor Contact,Technology Status
Vendor-0017,EcoInfra,Hardware,6949.7,29,Graz,60,16,5,972.81,3,4,10664,ewkl1fikl2@ecoinfra.com,On Hold
Vendor-0018,EcoInfra,Software,19960.9,15,Graz,36,10,13,991.99,1,18,3507,8n-7djlxa2@ecoinfra.com,Active
Vendor-0019,TechOptima,Software,12809.2,25,Cambridge,12,16,9,2721.99,5,16,9486,ipdvn_0uzn@techoptima.com,Active
Vendor-0020,GreenCompute,Hardware,7170.0,19,Lyon,24,22,10,2559.46,4,19,2006,f9t9pmv83l@greencompute.com,Cancelled
Vendor-0021,CoolIT,Hardware,20226.8,29,Porto,36,7,3,4363.86,3,16,7248,mej1248dli@coolit.com,Active
Vendor-0022,GreenCompute,Renewable Energy,14759.1,24,Milan,36,19,11,1562.27,3,13,6476,gdtzkddbfd@greencompute.com,In Development
Vendor-0023,CoolIT,Renewable Energy,16501.3,14,Porto,36,21,5,4860.35,4,19,2437,hlhrt9849k@coolit.com,Active
Vendor-0024,EcoInfra,Renewable Energy,6257.7,20,Gothenburg,24,23,13,1205.93,4,3,9332,0ajiibhcvi@ecoinfra.com,Active
Vendor-0025,TechOptima,Monitoring,13670.8,22,Munich,12,22,6,4100.5,5,18,2375,zrfgsdfjq0@techoptima.com,On Hold
Vendor-0026,PowerSolutions,Monitoring,8998.3,12,Milan,60,18,8,4060.35,4,9,10294,wj_jno8qxe@powersolutions.com,In Development
Vendor-0027,CoolIT,Hardware,15933.5,25,Graz,24,21,12,2381.54,3,17,6916,jq114arvo3@coolit.com,Inactive
Vendor-0028,TechOptima,Hardware,16999.4,15,Lyon,12,10,2,4576.38,3,8,9481,s573x1gz54@techoptima.com,Active
Vendor-0029,EcoInfra,Renewable Energy,14693.7,13,Porto,60,7,13,710.78,4,13,7365,7vw-aupww0@ecoinfra.com,Pending
Vendor-0030,TechOptima,Monitoring,8344.4,23,Warsaw,60,7,7,2833.35,4,12,2131,3-rego3gpf@techoptima.com,Active
Vendor-0031,TechOptima,Monitoring,23165.5,14,Lyon,24,16,9,1231.82,4,17,7493,lg_acinlfn@techoptima.com,Active
Vendor-0032,PowerSolutions,Monitoring,17539.5,29,Lyon,60,9,11,1812.46,3,3,8875,h6m4ak49vp@powersolutions.com,In Development
Vendor-0033,CoolIT,Software,10641.2,28,Cambridge,48,17,6,633.48,4,14,9794,l8cg5jmoxx@coolit.com,On Hold
Vendor-0034,TechOptima,Renewable Energy,18398.9,25,Porto,48,12,12,2973.64,4,18,9901,gtkrsvuotb@techoptima.com,In Development
Vendor-0035,CoolIT,Hardware,20400.7,27,Lyon,36,21,3,2208.09,2,11,6585,3zgrlb47nu@coolit.com,Active
Vendor-0036,CoolIT,Hardware,16762.9,17,Lyon,24,22,5,827.43,4,16,3203,qivuk6ww80@coolit.com,Inactive
Vendor-0037,GreenCompute,Software,10717.6,28,Milan,12,9,11,3510.39,4,4,8695,etwex92pcx@greencompute.com,Active
Vendor-0038,PowerSolutions,Renewable Energy,21618.5,23,Cork,60,8,12,4920.28,2,13,5850,jvpcf95l_g@powersolutions.com,Pending
Vendor-0039,EcoInfra,Hardware,7807.1,26,Cork,24,22,10,1082.34,3,7,5515,dncrgdrfry@ecoinfra.com,Pending
Vendor-0040,GreenCompute,Hardware,22076.4,23,Cork,36,8,1,2161.37,4,18,3718,okwl5-n20j@greencompute.com,Active
Vendor-0041,EcoInfra,Software,5797.5,23,Cork,36,16,4,2460.39,1,8,6974,pblbe9_9v2@ecoinfra.com,Inactive
Vendor-0042,GreenCompute,Hardware,18111.9,27,Porto,12,18,13,2603.34,3,4,2103,ugwpwnx3w6@greencompute.com,Active
Vendor-0043,CoolIT,Renewable Energy,22745.8,25,Porto,36,22,1,969.74,4,9,5778,nugh2a-n15@coolit.com,Active
Vendor-0044,TechOptima,Monitoring,15188.7,11,Porto,24,10,8,1731.26,4,3,6765,4bcmh4k_xm@techoptima.com,In Development
Vendor-0045,CoolIT,Renewable Energy,20277.6,17,Munich,36,9,10,2401.81,5,13,9405,jzz6oxo6g2@coolit.com,On Hold
Vendor-0046,TechOptima,Software,18333.5,11,Cambridge,24,18,4,2431.45,4,18,10410,_ss26sms-b@techoptima.com,Active
Vendor-0047,TechOptima,Renewable Energy,9703.4,18,Porto,60,6,2,2239.93,5,11,10646,4-inqbzte9@techoptima.com,Active
Vendor-0048,GreenCompute,Monitoring,16524.8,10,Munich,60,21,5,4365.06,4,18,7649,fqt-05jtaa@greencompute.com,In Development
Vendor-0049,CoolIT,Monitoring,10688.7,10,Warsaw,60,14,13,2480.54,3,4,1097,g3xs6onywy@coolit.com,Pending
Vendor-0050,PowerSolutions,Renewable Energy,24664.6,11,Porto,48,9,2,3156.54,4,13,4919,-h20g-jpn_@powersolutions.com,On Hold
Vendor-0051,GreenCompute,Renewable Energy,21577.8,24,Munich,36,10,10,3998.97,3,5,7887,u4ej7kn2hk@greencompute.com,Active
Vendor-0052,EcoInfra,Hardware,22426.3,13,Gothenburg,12,18,11,620.73,4,13,2684,layfmz20r1@ecoinfra.com,Pending
Vendor-0053,PowerSolutions,Monitoring,24512.5,13,Milan,36,10,3,4860.34,4,5,5200,s1cdwq-y-d@powersolutions.com,In Development
Vendor-0054,GreenCompute,Renewable Energy,6824.0,26,Lyon,12,10,13,3254.48,4,10,4940,hjuw6zk7l2@greencompute.com,Active
Vendor-0055,EcoInfra,Renewable Energy,9966.3,26,Gothenburg,48,22,6,4012.43,3,7,5848,rc0c4shzny@ecoinfra.com,On Hold
Vendor-0056,EcoInfra,Software,17065.1,27,Gothenburg,48,22,11,2281.92,5,3,10761,_ceoa-h7yv@ecoinfra.com,In Development
Vendor-0057,PowerSolutions,Software,5043.4,17,Gothenburg,24,9,12,4173.45,2,17,2300,6trd-623zd@powersolutions.com,Cancelled
Vendor-0058,PowerSolutions,Hardware,7928.2,17,Munich,48,13,2,2726.66,4,13,10606,-39d9x-tuh@powersolutions.com,In Development
Vendor-0059,GreenCompute,Renewable Energy,13445.0,29,Gothenburg,60,24,5,768.93,4,7,7299,2n0qp83d2_@greencompute.com,Cancelled
Vendor-0060,TechOptima,Renewable Energy,19709.3,13,Cork,24,10,1,1681.56,5,4,2628,ae0neygmol@techoptima.com,Inactive
Vendor-0061,TechOptima,Renewable Energy,22026.2,23,Cork,36,22,10,556.52,5,10,8622,g8pnkfa2pz@techoptima.com,On Hold
Vendor-0062,CoolIT,Hardware,17413.2,24,Porto,24,11,12,4692.42,4,11,3130,-es6hqg1ed@coolit.com,Active
Vendor-0063,EcoInfra,Renewable Energy,7453.6,16,Milan,48,22,11,4232.9,4,7,4647,hg_92jcrc2@ecoinfra.com,Pending
Vendor-0064,GreenCompute,Software,7163.2,17,Cambridge,60,15,6,4939.99,4,3,9261,cevswti-mp@greencompute.com,In Development
Vendor-0065,GreenCompute,Monitoring,14735.7,26,Cambridge,48,22,4,1891.07,5,16,9243,4p4omt7_dz@greencompute.com,On Hold
Vendor-0066,EcoInfra,Monitoring,20143.3,24,Porto,36,20,12,1025.56,4,15,8588,9y8u36u_wq@ecoinfra.com,Active
Vendor-0067,EcoInfra,Monitoring,6821.3,22,Warsaw,60,9,8,4554.54,4,11,4300,_151406-ir@ecoinfra.com,Active
Vendor-0068,CoolIT,Monitoring,9552.2,28,Lyon,24,6,7,2565.43,1,11,2692,vloehh8hxm@coolit.com,Inactive
Vendor-0069,EcoInfra,Hardware,12862.6,20,Munich,48,15,2,650.09,4,6,2653,wu889k3bcf@ecoinfra.com,Active
Vendor-0070,PowerSolutions,Software,17246.1,22,Milan,48,19,3,661.05,4,14,6248,e4sq27yd55@powersolutions.com,In Development
Vendor-0071,TechOptima,Software,19726.8,24,Gothenburg,12,18,5,769.9,5,13,6473,2u7kisc9s2@techoptima.com,Pending
Vendor-0072,CoolIT,Renewable Energy,15663.3,14,Lyon,60,17,7,4432.2,3,15,8611,_x8_8m80ky@coolit.com,Cancelled
Vendor-0073,TechOptima,Monitoring,13250.3,10,Cambridge,12,10,2,505.31,4,14,7251,zon4y5licl@techoptima.com,Active
Vendor-0074,GreenCompute,Renewable Energy,5716.5,17,Milan,48,19,8,4396.24,4,11,6874,u37bg_8orc@greencompute.com,Pending
Vendor-0075,EcoInfra,Monitoring,11067.9,25,Lyon,12,20,10,961.89,4,4,2410,-a4bhjtn2r@ecoinfra.com,Pending
Vendor-0076,EcoInfra,Renewable Energy,12604.8,17,Graz,36,21,11,3975.4,4,18,4048,m_2lspag45@ecoinfra.com,In Development
Vendor-0077,TechOptima,Monitoring,6873.6,10,Cork,48,10,7,3120.99,5,14,3954,prmld-qy6k@techoptima.com,Active
Vendor-0078,CoolIT,Hardware,14185.3,12,Graz,36,7,2,4404.85,3,19,5057,_4gyygi8jb@coolit.com,In Development
Vendor-0079,PowerSolutions,Software,17360.9,12,Porto,12,13,3,3769.36,4,9,3559,14lr_c11s5@powersolutions.com,In Development
Vendor-0080,GreenCompute,Software,18982.0,12,Warsaw,36,15,11,3786.86,3,7,3989,dv06uc05d7@greencompute.com,Cancelled
Vendor-0081,TechOptima,Monitoring,14332.8,20,Porto,48,17,6,634.53,4,3,7042,egy36-khlp@techoptima.com,Active
Vendor-0082,PowerSolutions,Hardware,7450.2,18,Munich,48,11,2,4432.61,4,8,8237,a-94yc-52r@powersolutions.com,Active
Vendor-0083,TechOptima,Software,16144.1,13,Cork,24,19,2,1823.09,2,12,2502,9ylzg6vzdu@techoptima.com,Active
Vendor-0084,EcoInfra,Software,8100.6,20,Milan,12,7,2,4865.56,4,12,6897,59jpcihtop@ecoinfra.com,Cancelled
Vendor-0085,CoolIT,Renewable Energy,10351.7,15,Porto,24,6,5,1440.03,5,9,5080,-2z-9rwe_3@coolit.com,Pending
Vendor-0086,GreenCompute,Renewable Energy,7665.9,27,Munich,48,14,4,2074.19,5,15,1729,iv036ig2zu@greencompute.com,Active
Vendor-0087,PowerSolutions,Renewable Energy,6752.3,23,Gothenburg,24,22,6,1478.53,2,10,8879,l7-uayprie@powersolutions.com,In Development
Vendor-0088,CoolIT,Renewable Energy,8350.0,20,Milan,48,21,3,4658.16,4,14,8609,v-l5bezp3x@coolit.com,Cancelled
Vendor-0089,EcoInfra,Renewable Energy,13128.6,23,Cambridge,48,9,11,1734.73,3,17,8290,pwtjz4x2yy@ecoinfra.com,Active
Vendor-0090,EcoInfra,Software,13846.0,16,Milan,48,12,10,4185.83,3,8,10614,t8j75pxbj-@ecoinfra.com,Cancelled
Vendor-0091,CoolIT,Hardware,17584.4,12,Warsaw,12,18,5,4662.07,3,9,1600,b61m3ypi_7@coolit.com,Active
Vendor-0092,CoolIT,Software,7182.5,23,Lyon,24,20,5,4304.93,1,8,2515,5hu-hfv-fm@coolit.com,Active
Vendor-0093,TechOptima,Hardware,11358.0,29,Lyon,36,8,8,4867.02,3,5,8876,bhyh7l6ukh@techoptima.com,Pending
Vendor-0094,CoolIT,Monitoring,20284.3,25,Porto,24,11,4,3030.65,4,3,7484,fj-ov3v086@coolit.com,On Hold
Vendor-0095,PowerSolutions,Software,22637.2,22,Porto,12,6,13,2285.21,1,19,3240,04s4tz9jcy@powersolutions.com,In Development
Vendor-0096,GreenCompute,Monitoring,17075.0,28,Porto,12,16,13,4068.31,4,3,6132,rvw_8hpyrz@greencompute.com,In Development
Vendor-0097,TechOptima,Hardware,22120.6,16,Gothenburg,60,23,4,2260.86,4,13,8803,3hflgq2hw7@techoptima.com,In Development
Vendor-0098,PowerSolutions,Renewable Energy,12871.5,22,Cambridge,36,16,11,1798.59,5,7,6244,-bw-o693h5@powersolutions.com,Active
Vendor-0099,CoolIT,Hardware,7020.6,23,Graz,36,23,6,3929.8,5,14,5733,a4agzscgn7@coolit.com,In Development
Vendor-0100,EcoInfra,Software,18585.6,27,Graz,60,14,6,2993.88,2,9,9544,w7jxq-rp41@ecoinfra.com,Active
Vendor-0101,CoolIT,Software,19896.5,22,Munich,60,19,12,3501.17,4,11,5558,wxgitcgi30@coolit.com,Active
Vendor-0102,PowerSolutions,Hardware,7208.1,17,Porto,24,11,10,4582.86,4,3,6070,-q6nfj5ztm@powersolutions.com,Active
Vendor-0103,GreenCompute,Hardware,7504.0,13,Lyon,24,24,6,4460.23,5,8,1329,279c9086vg@greencompute.com,Active
Vendor-0104,GreenCompute,Hardware,5036.7,10,Cork,24,23,1,4606.99,4,7,10040,oxjqzit659@greencompute.com,Active
Vendor-0105,CoolIT,Hardware,17576.0,11,Cork,12,5,8,998.23,2,3,9348,e6e0myg-ji@coolit.com,Active
Vendor-0106,CoolIT,Software,12053.1,22,Milan,48,18,12,4614.92,4,15,6339,u__n7qwrd8@coolit.com,Cancelled
Vendor-0107,GreenCompute,Monitoring,13557.5,18,Graz,24,14,10,3865.12,3,9,3914,1eir2kl404@greencompute.com,In Development
Vendor-0108,EcoInfra,Renewable Energy,6263.7,25,Cambridge,36,11,5,780.16,3,17,9012,neof-y4vrl@ecoinfra.com,Active
Vendor-0109,PowerSolutions,Renewable Energy,5126.0,29,Cambridge,24,12,6,2199.34,4,14,1459,-n2dr1wx5n@powersolutions.com,Active
Vendor-0110,EcoInfra,Monitoring,12412.7,28,Graz,48,14,11,4788.38,4,16,8367,zi3406alto@ecoinfra.com,Pending
Vendor-0111,GreenCompute,Renewable Energy,18635.4,22,Cambridge,24,11,10,2165.07,4,18,3923,wviu-9zvfm@greencompute.com,In Development
Vendor-0112,PowerSolutions,Hardware,5359.9,18,Milan,12,14,13,4810.49,4,8,4841,hlxtwvw006@powersolutions.com,In Development
Vendor-0113,TechOptima,Hardware,5311.3,26,Porto,48,5,12,4616.37,4,15,10790,hu8ujd7q5b@techoptima.com,Pending
Vendor-0114,PowerSolutions,Hardware,7147.9,17,Munich,12,16,4,3532.77,4,13,2871,a3y9gncwp6@powersolutions.com,In Development
Vendor-0115,EcoInfra,Hardware,23843.6,28,Gothenburg,12,12,10,1478.38,5,7,9743,le5r1ak895@ecoinfra.com,Active
Vendor-0116,EcoInfra,Software,20657.8,19,Graz,12,22,13,3536.53,2,14,6686,8rkylf3g6v@ecoinfra.com,Active
Vendor-0117,PowerSolutions,Hardware,10348.1,21,Lyon,36,23,6,771.34,3,18,2787,n64ovqxjy4@powersolutions.com,Active
Vendor-0118,CoolIT,Software,7054.5,17,Graz,60,9,11,2059.19,4,8,7060,c2q2i1rkmz@coolit.com,Cancelled
Vendor-0119,PowerSolutions,Software,6946.6,25,Cork,60,10,4,937.43,2,6,10118,hpfteiohfb@powersolutions.com,In Development
Vendor-0120,GreenCompute,Monitoring,11903.2,29,Cambridge,60,16,1,4222.82,5,10,5835,x4hzwy3cji@greencompute.com,Active
Vendor-0121,PowerSolutions,Hardware,7871.5,10,Warsaw,36,20,8,3780.1,4,6,5463,c42h_nc8km@powersolutions.com,Active
Vendor-0122,EcoInfra,Renewable Energy,9591.3,16,Munich,36,18,6,815.02,3,4,10755,v08a1rh6dp@ecoinfra.com,On Hold
Vendor-0123,CoolIT,Software,12176.9,28,Porto,12,23,4,4976.46,4,18,8930,pwhf-kd2bt@coolit.com,Active
Vendor-0124,CoolIT,Renewable Energy,13950.2,19,Lyon,60,5,13,1202.35,3,11,5716,3azqv5vv37@coolit.com,Cancelled
Vendor-0125,CoolIT,Renewable Energy,6236.9,22,Graz,60,7,4,683.32,3,4,2466,z2apvqyd1m@coolit.com,Pending
Vendor-0126,TechOptima,Software,22538.4,28,Cambridge,24,9,9,2247.3,1,14,2359,8vz-r0hukr@techoptima.com,On Hold
Vendor-0127,EcoInfra,Monitoring,6020.0,26,Porto,48,22,7,2178.14,2,5,3638,5-3ker27gk@ecoinfra.com,Active
Vendor-0128,CoolIT,Monitoring,23519.8,17,Milan,24,14,9,3219.37,3,19,9937,j36gbhnm7r@coolit.com,Active
Vendor-0129,CoolIT,Software,10010.6,23,Graz,60,7,10,2263.9,5,13,9484,qnychdrkvy@coolit.com,Pending
Vendor-0130,EcoInfra,Monitoring,10034.5,20,Cork,12,16,8,709.43,4,17,9174,jl9f9ml8fo@ecoinfra.com,Active
Vendor-0131,TechOptima,Software,23033.4,16,Lyon,12,16,10,4112.36,4,15,10743,uhnj-wywdc@techoptima.com,Inactive
Vendor-0132,CoolIT,Hardware,15493.7,26,Warsaw,24,16,2,2823.4,5,13,7295,pggvz_qhon@coolit.com,Active
Vendor-0133,CoolIT,Hardware,10586.4,25,Lyon,48,9,4,3566.17,4,11,5507,tyzaovwgek@coolit.com,Inactive
Vendor-0134,EcoInfra,Renewable Energy,15467.4,16,Milan,36,6,7,832.24,4,8,5774,-m8fj8o_w2@ecoinfra.com,Active
Vendor-0135,EcoInfra,Monitoring,24641.1,25,Porto,60,17,3,3381.68,5,8,4239,s6ftr_8tpn@ecoinfra.com,Active
Vendor-0136,PowerSolutions,Software,22120.3,17,Warsaw,60,23,3,4445.67,4,15,4960,n7gikumsif@powersolutions.com,Inactive
Vendor-0137,TechOptima,Hardware,9513.6,20,Milan,60,5,6,1496.95,2,10,7545,ophmx73kal@techoptima.com,Active
Vendor-0138,GreenCompute,Renewable Energy,5994.3,18,Porto,36,16,7,2896.31,4,3,8041,z8kdwpct1a@greencompute.com,Active
Vendor-0139,GreenCompute,Software,20448.6,23,Lyon,12,9,7,4685.36,2,12,10506,sdr6hpctf_@greencompute.com,In Development
Vendor-0140,GreenCompute,Monitoring,7387.0,29,Gothenburg,48,19,3,2864.32,4,10,9103,n-lmy2dv1n@greencompute.com,Pending
Vendor-0141,GreenCompute,Software,16745.2,13,Graz,12,15,4,2500.14,1,5,8759,iee1r3hjui@greencompute.com,Pending
Vendor-0142,GreenCompute,Software,17771.2,24,Cork,36,9,7,4793.28,5,10,10972,7yk8_ng45e@greencompute.com,Active
Vendor-0143,TechOptima,Software,10086.1,19,Porto,12,8,3,1879.67,3,11,5378,z-dhmcisj_@techoptima.com,Active
Vendor-0144,EcoInfra,Renewable Energy,16352.6,17,Lyon,12,23,3,1143.02,4,13,8961,_phz4zds49@ecoinfra.com,In Development
Vendor-0145,EcoInfra,Hardware,15781.2,19,Milan,24,15,9,2422.29,4,5,1355,rgm2s73mfr@ecoinfra.com,In Development
Vendor-0146,GreenCompute,Renewable Energy,18977.2,29,Gothenburg,36,20,9,1410.44,3,19,1923,cgwi7vzfio@greencompute.com,In Development
Vendor-0147,TechOptima,Monitoring,23022.7,25,Cambridge,24,21,13,1101.91,5,5,5502,ezn8re5m4m@techoptima.com,Inactive
Vendor-0148,PowerSolutions,Hardware,7667.7,15,Milan,36,7,9,2620.63,4,18,9372,buzk6rgahn@powersolutions.com,On Hold
Vendor-0149,PowerSolutions,Software,16446.5,12,Cambridge,60,19,4,1983.23,3,7,3022,1n7mac7oyf@powersolutions.com,On Hold
Vendor-0150,PowerSolutions,Renewable Energy,15914.2,19,Graz,24,14,8,1778.63,3,6,6596,wfdj_vyg1c@powersolutions.com,In Development
Vendor-0151,TechOptima,Renewable Energy,15035.5,26,Cork,36,13,3,2077.97,4,6,4759,vbb_ee8uy1@techoptima.com,On Hold
Vendor-0152,CoolIT,Monitoring,12822.3,25,Cork,60,23,5,2485.58,2,12,8362,np129wj1af@coolit.com,Active
Vendor-0153,PowerSolutions,Renewable Energy,24789.7,20,Cambridge,48,10,10,2111.91,4,8,8873,kewwm1fzf5@powersolutions.com,In Development
Vendor-0154,EcoInfra,Hardware,19767.5,14,Cork,60,17,4,1439.18,3,10,6864,kdt0q-5axl@ecoinfra.com,Active
Vendor-0155,GreenCompute,Software,19650.9,25,Warsaw,48,21,8,1078.8,5,5,4737,km6n8rkjrp@greencompute.com,Active
Vendor-0156,CoolIT,Software,19659.0,27,Lyon,60,11,4,2138.97,4,10,5835,3g-j_3hrbz@coolit.com,On Hold
Vendor-0157,GreenCompute,Software,6971.5,10,Warsaw,48,10,12,2172.85,2,3,9830,98yoy9b9ju@greencompute.com,On Hold
Vendor-0158,EcoInfra,Hardware,7734.5,13,Milan,12,23,9,1013.4,5,13,5127,gb7nx1zb52@ecoinfra.com,In Development
Vendor-0159,GreenCompute,Software,8316.3,14,Graz,24,16,6,1481.87,4,5,3460,tgacnia839@greencompute.com,Active
Vendor-0160,TechOptima,Renewable Energy,11880.1,20,Gothenburg,12,9,1,4642.82,4,17,6253,3qdzfys8sf@techoptima.com,Active
Vendor-0161,TechOptima,Monitoring,12339.1,22,Munich,24,18,1,928.93,3,6,9352,jru17kx10n@techoptima.com,Cancelled
Vendor-0162,EcoInfra,Monitoring,10158.0,12,Cambridge,48,5,2,856.47,3,6,2913,wsa3e9ll_m@ecoinfra.com,Active
Vendor-0163,PowerSolutions,Software,14530.6,17,Gothenburg,24,18,5,2138.37,3,15,1785,bgeg1rvr6w@powersolutions.com,Active
Vendor-0164,PowerSolutions,Monitoring,19863.0,18,Warsaw,48,16,13,4168.19,4,12,1302,2bk2w_e7lj@powersolutions.com,Pending
Vendor-0165,GreenCompute,Renewable Energy,9626.3,15,Cork,36,20,7,2932.49,4,17,9174,d4lgl8xjs-@greencompute.com,Cancelled
Vendor-0166,EcoInfra,Monitoring,8395.5,27,Munich,48,14,1,595.59,4,8,5461,ghf_2w0r1q@ecoinfra.com,In Development
Vendor-0167,EcoInfra,Monitoring,23822.3,29,Cork,36,16,1,1467.13,4,19,10447,j4es3o5v4g@ecoinfra.com,Pending
Vendor-0168,TechOptima,Hardware,7915.0,15,Warsaw,36,17,2,4851.56,5,3,4724,xp0w8m8y7w@techoptima.com,Active
Vendor-0169,PowerSolutions,Renewable Energy,24030.8,12,Cork,24,21,11,3147.22,3,13,8673,9e_ododd0u@powersolutions.com,In Development
Vendor-0170,PowerSolutions,Hardware,18799.1,20,Warsaw,60,6,5,1834.11,5,7,4054,b5tpok27j3@powersolutions.com,Active
Vendor-0171,CoolIT,Renewable Energy,17671.2,10,Gothenburg,12,7,12,2049.42,5,4,2125,zbdl6pbyye@coolit.com,In Development
Vendor-0172,TechOptima,Hardware,21235.7,27,Milan,60,21,3,2955.23,4,17,5837,ekhn50vy_t@techoptima.com,On Hold
Vendor-0173,PowerSolutions,Hardware,6394.9,22,Munich,60,7,6,1701.37,3,8,7800,mb9y8ttwfe@powersolutions.com,Pending
Vendor-0174,PowerSolutions,Hardware,8115.8,15,Warsaw,60,17,5,1080.66,4,3,7935,9z1rzr545v@powersolutions.com,Inactive
Vendor-0175,GreenCompute,Renewable Energy,6542.5,14,Warsaw,12,21,2,2880.67,4,17,1623,6ehnyqkk6p@greencompute.com,Pending
Vendor-0176,PowerSolutions,Monitoring,19276.3,15,Munich,48,21,5,2063.22,5,13,1624,cv3ahaiq2e@powersolutions.com,Active
Vendor-0177,GreenCompute,Renewable Energy,6319.1,23,Milan,24,12,11,3898.49,1,19,7320,v7x134oynu@greencompute.com,In Development
Vendor-0178,PowerSolutions,Renewable Energy,5026.7,15,Lyon,48,15,6,2163.53,4,11,7500,xvtk5oguek@powersolutions.com,Active
Vendor-0179,GreenCompute,Hardware,7040.2,10,Porto,24,22,4,4411.32,4,4,8479,2j-619p2_g@greencompute.com,Pending
Vendor-0180,TechOptima,Renewable Energy,7057.0,27,Graz,36,5,3,4850.33,3,19,10023,ly7dyg4xpn@techoptima.com,Active
Vendor-0181,GreenCompute,Monitoring,5854.5,21,Lyon,60,9,11,1926.51,3,7,5262,4nrb9zvbho@greencompute.com,Inactive
Vendor-0182,PowerSolutions,Hardware,12993.8,15,Gothenburg,24,14,1,1193.46,4,7,3738,ukzwprmgzf@powersolutions.com,Cancelled
Vendor-0183,TechOptima,Monitoring,22286.9,11,Cambridge,60,20,6,1141.58,5,15,5064,a_tvtv_p0m@techoptima.com,Active
Vendor-0184,EcoInfra,Software,19843.0,13,Warsaw,36,12,6,776.2,2,7,9990,4f1ydi6bev@ecoinfra.com,Pending
Vendor-0185,PowerSolutions,Renewable Energy,20165.4,28,Munich,24,20,13,4888.35,4,4,8857,davotsrnos@powersolutions.com,In Development
Vendor-0186,PowerSolutions,Hardware,5949.8,13,Graz,12,5,1,2461.27,4,13,7386,g_ay283zjr@powersolutions.com,Pending
Vendor-0187,CoolIT,Software,17623.5,15,Warsaw,60,20,2,3555.11,1,4,4582,56ss90_1t4@coolit.com,In Development
Vendor-0188,CoolIT,Renewable Energy,12307.1,24,Gothenburg,48,19,2,1983.3,3,8,3870,3ojonkd0rh@coolit.com,Active
Vendor-0189,TechOptima,Renewable Energy,24643.2,21,Milan,36,10,13,1612.33,4,18,9170,4sasnfn9yq@techoptima.com,Active
Vendor-0190,EcoInfra,Software,9133.4,15,Milan,24,8,6,2865.11,3,12,9867,inx31nt92p@ecoinfra.com,In Development
Vendor-0191,GreenCompute,Renewable Energy,9349.6,25,Milan,60,23,1,2179.68,4,10,10837,m7fo53anl3@greencompute.com,Cancelled
Vendor-0192,CoolIT,Software,7415.9,27,Munich,48,10,9,633.14,3,19,6505,z9q-cexudq@coolit.com,Active
Vendor-0193,EcoInfra,Hardware,17083.1,29,Warsaw,24,13,9,1563.71,4,15,7675,58uu7mu5qw@ecoinfra.com,Active
