Vendor ID,Vendor Name,Technology Type,Cost (€),Energy Savings (%),Vendor Location,Contract Duration (Months),Technology ROI (%),Installation Time (Days),Maintenance Cost (€/Year),Vendor Rating (1-5),Technology Lifespan (Years),Carbon Reduction (kg CO2/Year),Vendor Contact,Technology Status
Vendor-0043,CoolIT,Monitoring,10567.0,21,Dublin,12,19,4,1927.25,4,4,10951,pum5my1jfl@coolit.com,Active
Vendor-0044,EcoInfra,Monitoring,16414.9,19,Dublin,48,14,5,1105.65,4,8,1787,rgrvsmkyk2@ecoinfra.com,Cancelled
Vendor-0045,EcoInfra,Software,21513.1,20,Stockholm,24,15,10,1813.72,2,16,9609,dbmvnqocru@ecoinfra.com,Active
Vendor-0046,CoolIT,Renewable Energy,11999.5,13,Vienna,24,15,1,4131.03,2,16,6597,tub_qchedd@coolit.com,Active
Vendor-0047,GreenCompute,Hardware,13642.1,28,Paris,36,17,2,2280.31,5,12,4381,gtzr7t5csa@greencompute.com,Active
Vendor-0048,TechOptima,Renewable Energy,7875.7,19,Vienna,24,16,4,4423.7,2,4,8200,u4c_b2wo8s@techoptima.com,Inactive
Vendor-0049,TechOptima,Hardware,13413.0,16,London,60,10,12,3793.26,5,18,6472,w_rq1jyw7o@techoptima.com,In Development
Vendor-0050,TechOptima,Renewable Energy,21512.1,19,Paris,60,21,3,2149.53,4,14,8713,xpskf35l96@techoptima.com,In Development
Vendor-0051,GreenCompute,Renewable Energy,22600.4,28,Lisbon,36,12,5,1229.33,4,4,4961,uyy2k3j7kq@greencompute.com,Inactive
Vendor-0052,PowerSolutions,Software,17673.1,26,Lisbon,48,19,3,509.08,2,9,3243,r0tt99rnum@powersolutions.com,Cancelled
Vendor-0053,GreenCompute,Software,14355.4,26,Vienna,48,22,8,2411.81,4,18,8923,jly8i3pux_@greencompute.com,Inactive
Vendor-0054,GreenCompute,Software,9134.5,21,Vienna,12,22,4,2766.35,5,16,7246,kl07bhzdut@greencompute.com,In Development
Vendor-0055,TechOptima,Monitoring,14102.6,14,Stockholm,60,21,1,2516.37,4,5,6503,hy292qo3q3@techoptima.com,Pending
Vendor-0056,EcoInfra,Software,21132.9,22,Dublin,48,23,12,2150.79,3,10,1882,ubnam_37wx@ecoinfra.com,Pending
Vendor-0057,TechOptima,Hardware,11192.4,19,Paris,12,12,12,3771.76,4,13,5964,b1u0-jp-s2@techoptima.com,Active
Vendor-0058,GreenCompute,Hardware,21028.2,15,Lisbon,60,23,2,924.02,4,12,7441,orr3gb5ulz@greencompute.com,Cancelled
Vendor-0059,GreenCompute,Software,5070.8,25,Vienna,12,6,6,985.99,3,18,4076,1jj-p7gfy0@greencompute.com,In Development
Vendor-0060,PowerSolutions,Software,11962.2,24,Stockholm,48,10,9,2961.94,4,17,2953,9mv1gr0uwj@powersolutions.com,Active
Vendor-0061,PowerSolutions,Software,24803.8,22,Dublin,60,18,10,638.12,4,5,2399,6_3a2e-78h@powersolutions.com,Active
Vendor-0062,EcoInfra,Monitoring,23220.0,26,Lisbon,36,8,9,2287.65,4,8,1513,5ubvq95-yt@ecoinfra.com,On Hold
Vendor-0063,PowerSolutions,Software,17939.0,29,Dublin,60,15,5,1383.21,4,14,7555,02dqw5xog-@powersolutions.com,Cancelled
Vendor-0064,PowerSolutions,Monitoring,14846.2,18,Lisbon,48,18,4,1454.64,4,18,6764,7zb587s1zf@powersolutions.com,Active
Vendor-0065,EcoInfra,Hardware,19170.5,15,Vienna,48,8,6,2680.09,4,7,10179,sgl2pmhv5s@ecoinfra.com,Pending
Vendor-0066,CoolIT,Monitoring,24617.1,26,Vienna,48,13,4,2914.37,5,15,3980,9ghihgnduc@coolit.com,In Development
Vendor-0067,CoolIT,Renewable Energy,5605.1,19,Amsterdam,36,14,4,2360.94,4,8,8592,x9rkr6og28@coolit.com,Active
Vendor-0068,GreenCompute,Hardware,10514.3,13,Rome,60,13,4,1103.66,3,10,6273,swg7zq0oyf@greencompute.com,Active
Vendor-0069,CoolIT,Hardware,24904.0,10,Rome,36,18,4,2617.0,3,16,1117,v-0ckcmd0n@coolit.com,Cancelled
Vendor-0070,GreenCompute,Monitoring,17086.8,11,Vienna,12,9,11,4098.15,2,17,9037,d5s7hd7xd5@greencompute.com,In Development
Vendor-0071,GreenCompute,Software,19618.1,10,Paris,12,9,8,3549.05,4,16,9099,d5tdwz_wxy@greencompute.com,Cancelled
Vendor-0072,PowerSolutions,Monitoring,20076.9,28,Paris,12,11,8,2832.86,1,10,7605,epe3wlenya@powersolutions.com,On Hold
Vendor-0073,PowerSolutions,Renewable Energy,12904.3,15,Rome,60,11,2,1138.71,4,13,3375,t01q9l_r9h@powersolutions.com,Active
Vendor-0074,CoolIT,Monitoring,23819.8,10,Vienna,24,24,1,3233.68,5,17,8592,wc6spbp2wo@coolit.com,Inactive
Vendor-0075,EcoInfra,Hardware,8289.6,23,Amsterdam,48,18,3,2771.74,4,14,10760,ideyxk_va8@ecoinfra.com,Active
Vendor-0076,EcoInfra,Monitoring,21225.3,14,Amsterdam,60,12,13,4213.84,3,17,9879,fzpggbygix@ecoinfra.com,In Development
Vendor-0077,GreenCompute,Monitoring,16030.3,29,London,24,5,9,1186.55,3,14,4171,zh0taadmf-@greencompute.com,Cancelled
Vendor-0078,EcoInfra,Monitoring,10751.9,14,Lisbon,24,14,5,2247.91,2,16,5985,t2j9si3w02@ecoinfra.com,Pending
Vendor-0079,PowerSolutions,Software,14582.4,10,Dublin,12,24,8,953.77,5,19,6648,ezkh0nfy3t@powersolutions.com,Active
Vendor-0080,GreenCompute,Monitoring,15661.9,20,London,60,24,11,2858.8,4,6,10720,9fg35ikkoh@greencompute.com,In Development
Vendor-0081,EcoInfra,Hardware,12273.3,25,London,24,19,12,4565.83,4,3,10447,0ygtpv-h5q@ecoinfra.com,Active
Vendor-0082,GreenCompute,Renewable Energy,11098.6,21,Paris,24,7,12,4748.0,5,5,2175,q5-05hbntr@greencompute.com,Pending
Vendor-0083,TechOptima,Hardware,13872.5,11,Rome,24,16,5,636.01,2,9,7693,grxy7tl3ow@techoptima.com,Active
Vendor-0084,TechOptima,Software,21730.8,16,London,60,24,10,2160.79,4,14,10742,eo0ke9kw7-@techoptima.com,In Development
Vendor-0085,GreenCompute,Software,19249.3,25,Berlin,60,21,13,1964.57,5,9,3894,1na2aennp6@greencompute.com,Pending
Vendor-0086,TechOptima,Renewable Energy,6626.6,10,Berlin,48,8,5,3349.54,4,12,8754,_eyc1fefh5@techoptima.com,In Development
Vendor-0087,EcoInfra,Software,20329.2,12,Lisbon,24,8,1,3688.1,5,19,5259,a4p_adxwy1@ecoinfra.com,In Development
Vendor-0088,PowerSolutions,Renewable Energy,23563.4,19,Paris,48,16,9,1346.0,3,18,8148,jee_2g60kg@powersolutions.com,Active
Vendor-0089,PowerSolutions,Renewable Energy,24165.5,27,Vienna,12,13,9,1327.49,5,12,10549,e1-4294idb@powersolutions.com,Pending
Vendor-0090,TechOptima,Software,13126.4,12,Dublin,48,19,13,1779.82,5,10,8011,8qati_t9kr@techoptima.com,Active
Vendor-0091,GreenCompute,Software,23338.7,16,Rome,12,13,10,614.66,4,15,7330,tlus9zpxke@greencompute.com,Inactive
Vendor-0092,PowerSolutions,Hardware,8351.5,25,Amsterdam,24,13,11,3080.99,5,19,3747,6bo690t-86@powersolutions.com,Active
Vendor-0093,EcoInfra,Hardware,12990.7,16,Lisbon,48,8,5,3639.4,4,7,1808,a5v0v_ijxw@ecoinfra.com,Pending
Vendor-0094,TechOptima,Hardware,15135.3,13,Amsterdam,12,13,3,522.42,4,15,8808,_7rp8o14jc@techoptima.com,Cancelled
Vendor-0095,PowerSolutions,Hardware,8655.1,28,Lisbon,60,7,13,2448.11,2,19,10398,ouc26_712h@powersolutions.com,In Development
Vendor-0096,EcoInfra,Monitoring,18768.6,28,Paris,36,18,13,2555.34,4,12,4265,h5h49sw1af@ecoinfra.com,Active
Vendor-0097,GreenCompute,Renewable Energy,13227.2,27,Stockholm,60,14,8,3245.81,3,8,2492,7o4-oi_bj-@greencompute.com,Inactive
Vendor-0098,TechOptima,Software,7563.5,18,Stockholm,24,20,9,3885.12,3,19,8910,027l5zjlah@techoptima.com,Active
Vendor-0099,CoolIT,Renewable Energy,15538.9,11,Amsterdam,48,21,7,4400.18,4,8,6236,-mlo3c96th@coolit.com,Active
Vendor-0100,CoolIT,Renewable Energy,10735.3,27,Amsterdam,12,18,3,1204.37,4,19,6380,4vnv4jc99e@coolit.com,Active
Vendor-0101,EcoInfra,Software,23820.6,16,Dublin,24,10,9,2281.8,3,7,6231,f9kd-8t-8j@ecoinfra.com,In Development
Vendor-0102,TechOptima,Hardware,21512.9,19,Lisbon,48,14,6,3194.63,4,16,7135,hm936ypd9o@techoptima.com,In Development
Vendor-0103,EcoInfra,Hardware,21360.0,26,Amsterdam,24,10,8,2702.24,4,13,10371,8d3exigo06@ecoinfra.com,Cancelled
Vendor-0104,GreenCompute,Renewable Energy,17854.1,17,Rome,36,24,9,3492.4,4,7,8297,65ek5gw6ul@greencompute.com,Cancelled
Vendor-0105,GreenCompute,Renewable Energy,6937.0,17,Berlin,48,9,1,3053.91,3,5,7932,t461fhcy1o@greencompute.com,On Hold
Vendor-0106,PowerSolutions,Hardware,13912.3,26,Stockholm,24,16,12,1973.88,5,13,8123,i74_5n_pjr@powersolutions.com,Active
Vendor-0107,PowerSolutions,Hardware,17961.0,22,Vienna,36,8,2,4631.2,5,11,9282,0k6-tculh-@powersolutions.com,Inactive
Vendor-0108,PowerSolutions,Renewable Energy,8970.9,22,London,24,21,7,4200.97,4,7,4513,5hocwkvgdr@powersolutions.com,Active
Vendor-0109,PowerSolutions,Monitoring,13046.0,17,Paris,60,19,3,3778.7,5,7,2108,15ner2qu7u@powersolutions.com,Cancelled
Vendor-0110,CoolIT,Renewable Energy,14634.6,24,Rome,60,7,1,2243.1,4,4,3323,7grrm2yrfi@coolit.com,In Development
Vendor-0111,PowerSolutions,Software,21683.9,12,Paris,48,9,9,732.61,4,12,5831,lkugot4vvi@powersolutions.com,Active
Vendor-0112,CoolIT,Renewable Energy,12611.5,24,London,48,24,1,4887.34,4,7,7408,3zsrvmjidz@coolit.com,Inactive
Vendor-0113,GreenCompute,Monitoring,11986.4,19,Berlin,60,22,3,3549.64,2,14,10416,qnwu_d1ych@greencompute.com,Inactive
Vendor-0114,EcoInfra,Hardware,19516.7,10,Amsterdam,60,17,5,1792.06,4,11,6668,z8mhlaa02u@ecoinfra.com,Pending
Vendor-0115,PowerSolutions,Monitoring,11810.0,20,Dublin,60,19,2,2546.02,3,17,5213,moix_lu4tw@powersolutions.com,On Hold
Vendor-0116,PowerSolutions,Monitoring,6976.4,16,Vienna,60,13,6,1616.2,4,10,6134,rtsgv-qki7@powersolutions.com,Inactive
Vendor-0117,TechOptima,Hardware,20720.1,20,Vienna,60,12,4,3835.5,5,18,3298,p2xns35z5d@techoptima.com,Inactive
Vendor-0118,GreenCompute,Monitoring,12388.3,24,Stockholm,36,10,2,3399.92,3,14,4011,t0m8qlz7qy@greencompute.com,Active
Vendor-0119,GreenCompute,Software,24733.9,11,Lisbon,36,17,9,2838.08,2,18,1478,pe7l6t5q99@greencompute.com,Active
Vendor-0120,TechOptima,Monitoring,15136.1,10,London,36,11,10,2189.43,2,12,8319,leabgy6ke3@techoptima.com,Cancelled
Vendor-0121,TechOptima,Software,6283.9,15,London,36,21,12,1879.65,3,13,3280,ym-7pd3mw5@techoptima.com,In Development
Vendor-0122,GreenCompute,Hardware,20260.7,28,Rome,60,10,13,4158.74,3,7,10835,7xwutk50-1@greencompute.com,Cancelled
Vendor-0123,CoolIT,Software,12553.8,13,Stockholm,12,14,5,2266.18,1,13,5374,20n4aqsul_@coolit.com,Active
Vendor-0124,CoolIT,Renewable Energy,7460.2,20,Stockholm,12,20,10,2645.04,3,18,6607,70sn1b_nsc@coolit.com,Active
Vendor-0125,CoolIT,Monitoring,16141.2,29,Lisbon,60,5,3,1281.43,4,6,2029,vjqd636568@coolit.com,In Development
Vendor-0126,CoolIT,Monitoring,9977.5,10,Amsterdam,24,5,2,4393.38,4,3,3890,yytpo-vwcj@coolit.com,Pending
Vendor-0127,GreenCompute,Software,23785.6,27,Lisbon,48,16,5,1607.59,1,4,5492,4yu6kgvide@greencompute.com,Inactive
Vendor-0128,TechOptima,Monitoring,19017.7,12,Vienna,60,22,3,1264.45,3,3,2675,ratj3d2k6_@techoptima.com,In Development
Vendor-0129,EcoInfra,Renewable Energy,13296.9,23,Berlin,24,23,1,3310.65,4,14,1879,8ktx1ej7is@ecoinfra.com,In Development
Vendor-0130,PowerSolutions,Monitoring,20401.1,23,Lisbon,24,12,3,1103.88,4,11,4797,mjlrn8o_by@powersolutions.com,In Development
Vendor-0131,TechOptima,Hardware,14281.8,29,Lisbon,12,6,12,4900.9,4,16,10570,6xttdr_tlm@techoptima.com,Active
Vendor-0132,TechOptima,Hardware,23411.2,14,London,36,23,10,3018.72,4,5,6199,hjvac92m7h@techoptima.com,Active
Vendor-0133,CoolIT,Monitoring,19239.9,10,Amsterdam,48,21,11,706.22,4,7,1316,g0hcw5_f7r@coolit.com,Inactive
Vendor-0134,GreenCompute,Software,24575.2,13,Rome,60,14,1,1128.4,5,11,5453,4ypy1tkha4@greencompute.com,In Development
Vendor-0135,TechOptima,Software,11784.1,13,Rome,24,24,8,4698.61,4,14,2655,wqtlusykmc@techoptima.com,In Development
Vendor-0136,PowerSolutions,Software,21577.3,22,London,48,23,2,2966.33,4,14,10148,gb6u37cy9x@powersolutions.com,Cancelled
Vendor-0137,CoolIT,Hardware,10634.6,14,Lisbon,48,23,2,2097.41,5,7,10012,yev2890ir9@coolit.com,In Development
Vendor-0138,PowerSolutions,Monitoring,11783.1,19,Dublin,48,6,7,3628.62,1,5,7709,fqek3mdoa8@powersolutions.com,In Development
Vendor-0139,TechOptima,Hardware,9841.9,24,Berlin,60,20,1,2175.58,4,12,8797,8__5q-uouq@techoptima.com,In Development
Vendor-0140,PowerSolutions,Hardware,21749.2,15,Vienna,12,13,12,1143.41,3,8,5816,o32zkg359d@powersolutions.com,Pending
Vendor-0141,TechOptima,Monitoring,23008.0,14,Amsterdam,12,7,2,3851.7,5,7,6104,fg43l9eq6t@techoptima.com,Cancelled
Vendor-0142,EcoInfra,Renewable Energy,8933.2,15,Vienna,24,6,2,2140.36,3,18,1878,2hfq_n01ff@ecoinfra.com,Active
Vendor-0143,PowerSolutions,Renewable Energy,22302.9,28,Dublin,60,22,6,4914.26,2,17,2736,xgcaid3nov@powersolutions.com,Active
Vendor-0144,PowerSolutions,Software,24294.2,18,London,24,20,11,1704.5,1,14,3740,6nxv_9vp0_@powersolutions.com,On Hold
Vendor-0145,CoolIT,Hardware,15626.7,25,Lisbon,60,20,1,851.31,4,5,8919,ztsjizy629@coolit.com,Cancelled
Vendor-0146,EcoInfra,Hardware,9852.6,10,Dublin,48,20,13,3116.2,1,12,6765,374ecgp6i1@ecoinfra.com,Inactive
Vendor-0147,TechOptima,Monitoring,23625.4,17,Paris,48,22,5,951.64,1,12,1689,diciu7fax4@techoptima.com,Active
Vendor-0148,PowerSolutions,Software,23478.9,14,Rome,12,21,5,4080.96,3,6,10631,fmido0m7_x@powersolutions.com,On Hold
Vendor-0149,PowerSolutions,Monitoring,7631.1,12,Stockholm,12,18,11,2168.13,4,12,5600,eo5u_ebvv2@powersolutions.com,In Development
Vendor-0150,EcoInfra,Renewable Energy,24170.0,22,Rome,60,13,1,4881.14,4,16,6773,02z2e40bjw@ecoinfra.com,In Development
Vendor-0151,CoolIT,Hardware,11069.2,11,Vienna,48,14,5,4551.01,3,11,10669,nghwl6i9wt@coolit.com,In Development
Vendor-0152,TechOptima,Renewable Energy,13843.7,12,Dublin,24,17,8,2818.37,3,5,10607,3ud6sujdyj@techoptima.com,On Hold
Vendor-0153,EcoInfra,Monitoring,16070.0,11,Paris,36,11,2,2095.78,5,11,10165,mg2xol50a5@ecoinfra.com,Active
Vendor-0154,EcoInfra,Hardware,11609.2,12,Paris,24,16,1,4953.24,4,13,10117,6852_5vg5y@ecoinfra.com,In Development
Vendor-0155,TechOptima,Hardware,6292.3,17,London,48,17,7,2109.93,3,12,8500,fae-7anrjw@techoptima.com,In Development
Vendor-0156,TechOptima,Monitoring,19344.8,12,Vienna,36,19,3,1019.54,3,19,8263,bvzwt4o8g1@techoptima.com,Pending
Vendor-0157,GreenCompute,Software,20398.2,19,London,12,23,3,3816.8,3,14,5428,1wsidgwdgj@greencompute.com,In Development
Vendor-0158,EcoInfra,Renewable Energy,15622.8,11,Stockholm,60,10,4,4229.96,4,10,1355,amd7egop32@ecoinfra.com,Inactive
Vendor-0159,CoolIT,Monitoring,13606.5,15,Stockholm,12,22,3,1957.97,4,7,5819,4gfveomev7@coolit.com,Active
Vendor-0160,TechOptima,Software,19543.9,23,Lisbon,36,21,5,1746.63,4,11,10023,iofgfm-9jd@techoptima.com,On Hold
Vendor-0161,CoolIT,Hardware,24887.9,16,Berlin,36,11,12,2428.97,2,5,4725,_1wr58x4cu@coolit.com,Inactive
Vendor-0162,GreenCompute,Renewable Energy,23646.4,13,Berlin,12,14,7,1393.22,4,5,2693,uog0ldy5k6@greencompute.com,Active
Vendor-0163,TechOptima,Hardware,16255.0,21,London,24,20,6,4519.13,2,9,10564,__cf6a_6vh@techoptima.com,On Hold
Vendor-0164,GreenCompute,Software,21347.5,16,Vienna,36,17,9,4341.06,4,10,2812,hbnenxhhyh@greencompute.com,Inactive
Vendor-0165,TechOptima,Monitoring,9403.3,15,Dublin,60,9,12,3675.52,4,15,10751,-lkasrbqbr@techoptima.com,Active
Vendor-0166,CoolIT,Software,12455.2,28,London,36,13,10,4217.41,3,11,8909,kmm1pzcjqc@coolit.com,Pending
Vendor-0167,EcoInfra,Software,24214.4,17,Vienna,48,23,11,1631.79,4,12,5543,fs3oykzv6o@ecoinfra.com,Active
Vendor-0168,CoolIT,Renewable Energy,16111.5,15,Lisbon,24,7,7,2651.62,4,12,3905,8yvjpyivn9@coolit.com,Cancelled
Vendor-0169,EcoInfra,Renewable Energy,15784.7,27,Stockholm,48,21,11,2147.88,4,12,2029,bvug68zfo7@ecoinfra.com,Active
Vendor-0170,GreenCompute,Hardware,9824.3,27,Vienna,60,23,11,4207.98,4,15,5447,a1q4rpoi66@greencompute.com,Pending
Vendor-0171,EcoInfra,Hardware,14857.5,26,Paris,36,19,13,1167.49,4,18,10931,hmpl2vz10l@ecoinfra.com,Pending
Vendor-0172,EcoInfra,Software,8358.2,25,Amsterdam,24,7,1,1351.94,3,16,2650,wbodj0s2g9@ecoinfra.com,Active
Vendor-0173,PowerSolutions,Software,19656.5,23,Vienna,24,11,1,3271.23,4,12,9675,dwnuego-b9@powersolutions.com,On Hold
Vendor-0174,GreenCompute,Renewable Energy,22456.8,29,Rome,60,5,13,2232.84,2,6,5136,x793onclln@greencompute.com,Active
Vendor-0175,EcoInfra,Software,20474.7,14,Vienna,12,11,4,1169.2,2,12,7123,9zb1ex05s-@ecoinfra.com,Inactive
Vendor-0176,EcoInfra,Software,7479.9,13,Lisbon,48,5,3,989.8,4,16,6416,v2hl2im1gu@ecoinfra.com,Active
Vendor-0177,GreenCompute,Software,16234.6,20,Lisbon,12,17,9,2630.89,4,14,4422,xo224-jhie@greencompute.com,Active
Vendor-0178,TechOptima,Monitoring,12324.6,28,Paris,24,20,2,3823.61,3,17,6039,shxanvfy7d@techoptima.com,Active
Vendor-0179,EcoInfra,Monitoring,11497.2,14,Dublin,36,23,9,739.07,3,10,4276,rdq2zf18uc@ecoinfra.com,Active
Vendor-0180,CoolIT,Renewable Energy,20933.7,23,Amsterdam,12,8,8,3837.13,4,13,3672,75j1alzbug@coolit.com,Active
Vendor-0181,CoolIT,Renewable Energy,14598.4,14,Amsterdam,12,7,9,3263.86,4,17,10643,5vizfytf0f@coolit.com,On Hold
Vendor-0182,PowerSolutions,Monitoring,21959.4,24,Amsterdam,36,9,13,1984.37,5,4,9582,m32big56yx@powersolutions.com,Active
Vendor-0183,TechOptima,Renewable Energy,13113.7,22,Rome,12,11,3,636.9,3,12,10743,v-eso0qa74@techoptima.com,On Hold
Vendor-0184,GreenCompute,Renewable Energy,15887.2,22,Berlin,48,18,11,4863.62,5,18,1847,tr5q-h81st@greencompute.com,On Hold
Vendor-0185,GreenCompute,Monitoring,11405.7,11,Lisbon,24,6,1,2193.54,4,11,6860,6h58v9_x77@greencompute.com,Active
Vendor-0186,TechOptima,Monitoring,12982.6,16,Lisbon,24,12,8,4702.44,1,5,1510,hyq04vcdxr@techoptima.com,In Development
Vendor-0187,PowerSolutions,Hardware,18702.9,10,Rome,24,13,2,2861.19,3,9,3550,98ptjck12k@powersolutions.com,Active
Vendor-0188,GreenCompute,Renewable Energy,10669.3,19,Dublin,60,17,5,3058.27,4,8,1006,qpmk-1mlue@greencompute.com,On Hold
Vendor-0189,TechOptima,Renewable Energy,24950.5,29,Stockholm,48,6,2,1983.02,3,8,1232,4ngnn2qbnb@techoptima.com,Active
Vendor-0190,EcoInfra,Software,21318.7,29,Paris,36,18,1,2324.91,5,19,9252,f1kzcg77qd@ecoinfra.com,Active
Vendor-0191,EcoInfra,Monitoring,7409.8,11,Rome,12,12,3,3469.45,5,9,1923,f-6fmeqnw-@ecoinfra.com,Active
Vendor-0192,TechOptima,Monitoring,9604.4,11,London,36,6,11,2602.91,3,8,9625,6i76gq-cha@techoptima.com,Active
