Server ID,Uptime (%),Workload (CPU %),Temperature (°C),Timestamp,Server Location,Server Type,Memory Usage (%),Disk Usage (%),Error Rate (%),Carbon Emissions (kg CO2),Maintenance Status,Power State,Fan Speed (RPM),Latency (ms),Year,Month,Day
Server-0050,95.7,0,31,2023-04-19 01:37:33,Dublin,Enterprise,77,59,2,79.14,Needs Maintenance,On,3725,15,2023,4,19
Server-0051,96.5,34,38,2022-04-06 01:23:26,Limerick,Network Node,50,70,2,112.94,Under Repair,On,4022,27,2022,4,6
Server-0052,99.6,15,25,2024-10-25 16:22:45,Kilkenny,Edge,85,55,1,179.0,Needs Maintenance,Standby,4198,6,2024,10,25
Server-0053,95.7,7,25,2023-11-20 21:19:29,Kilkenny,Backup Server,74,61,4,127.8,Under Repair,On,2960,65,2023,11,20
Server-0054,98.3,20,35,2023-10-26 00:15:10,Mayo,Mainframe,82,87,3,66.52,Active,On,2448,65,2023,10,26
Server-0055,98.2,4,38,2020-08-28 12:49:36,Donegal,Enterprise,70,55,1,82.27,Active,Standby,2333,3,2020,8,28
Server-0056,95.5,55,29,2021-10-02 10:01:26,Kilkenny,Edge,79,61,2,206.38,Active,On,2697,72,2021,10,2
Server-0057,98.5,30,29,2022-06-16 23:58:22,Limerick,Network Node,62,88,2,132.34,Needs Maintenance,On,2742,50,2022,6,16
Server-0058,97.4,89,27,2021-03-06 02:55:31,Dublin,Mainframe,88,51,1,133.48,Inactive,Standby,3631,57,2021,3,6
Server-0059,97.5,0,38,2023-01-26 18:52:19,Dublin,Backup Server,72,76,3,119.45,Inactive,Standby,4788,95,2023,1,26
Server-0060,95.0,86,40,2023-02-06 16:55:36,Carlow,Mainframe,55,62,4,74.02,Active,On,2747,32,2023,2,6
Server-0061,99.5,12,42,2022-02-24 02:22:35,Limerick,Network Node,68,61,0,136.61,Retired,On,2219,52,2022,2,24
Server-0062,98.1,31,34,2020-07-27 18:16:18,Limerick,Network Node,59,52,4,211.85,Active,On,3085,59,2020,7,27
Server-0063,98.0,68,29,2022-08-26 22:16:37,Cork,Mainframe,65,74,4,111.09,Out of Service,On,3699,91,2022,8,26
Server-0064,96.9,83,26,2023-08-13 12:42:08,Carlow,Enterprise,62,73,1,55.58,Active,On,3026,16,2023,8,13
Server-0065,98.5,50,34,2023-12-06 20:36:33,Limerick,Mainframe,71,82,1,188.72,Under Repair,On,2447,51,2023,12,6
Server-0066,99.2,91,38,2023-05-13 01:51:15,Galway,Network Node,51,56,1,154.21,Under Repair,Off,2497,48,2023,5,13
Server-0067,97.5,6,38,2020-04-01 05:13:35,Carlow,Enterprise,91,60,3,159.5,Active,On,2866,80,2020,4,1
Server-0068,97.7,57,39,2022-08-19 07:08:10,Cork,Backup Server,75,55,1,168.93,Out of Service,On,2013,40,2022,8,19
Server-0069,96.0,76,36,2024-11-11 19:08:26,Mayo,Edge,54,81,1,62.77,Needs Maintenance,On,4297,97,2024,11,11
Server-0070,96.8,31,33,2024-12-05 16:12:16,Limerick,Cloud,79,74,1,144.33,Inactive,Standby,3994,80,2024,12,5
Server-0071,97.3,17,26,2022-03-19 02:41:31,Carlow,Cloud,86,54,2,162.12,Needs Maintenance,Off,3407,36,2022,3,19
Server-0072,98.3,45,39,2022-09-07 01:47:03,Galway,Cloud,71,93,3,147.85,Retired,Standby,3192,71,2022,9,7
Server-0073,99.7,7,44,2025-01-10 17:42:02,Limerick,Edge,67,61,0,147.49,Out of Service,Standby,2884,93,2025,1,10
Server-0074,95.7,92,40,2020-07-12 14:34:50,Limerick,Backup Server,78,70,4,207.85,Under Repair,On,3274,54,2020,7,12
Server-0075,97.6,83,44,2022-07-10 00:57:05,Limerick,Edge,68,83,0,172.0,Out of Service,On,2771,28,2022,7,10
Server-0076,98.1,25,32,2022-08-07 18:09:26,Dublin,Mainframe,53,57,3,181.42,Needs Maintenance,On,3673,80,2022,8,7
Server-0077,99.1,17,42,2022-05-09 22:57:16,Dublin,Edge,57,64,2,142.15,Active,On,2582,2,2022,5,9
Server-0078,99.2,45,34,2023-07-04 05:42:19,Limerick,Edge,76,66,4,22.04,Active,On,4586,29,2023,7,4
Server-0079,98.3,1,33,2023-08-04 19:38:42,Carlow,Network Node,78,55,1,133.72,Retired,Standby,3953,60,2023,8,4
Server-0080,96.0,46,36,2022-03-17 10:34:33,Mayo,Edge,93,71,3,148.78,Active,Standby,2068,58,2022,3,17
Server-0081,98.9,48,42,2024-12-18 09:06:07,Galway,Network Node,82,72,4,140.31,Active,On,2733,5,2024,12,18
Server-0082,97.9,57,44,2021-10-02 21:52:45,Cork,Mainframe,56,87,4,146.25,Out of Service,On,4343,13,2021,10,2
Server-0083,99.8,87,27,2024-10-01 01:54:58,Limerick,Cloud,84,55,0,160.68,Inactive,Standby,2488,70,2024,10,1
Server-0084,99.8,7,34,2022-05-27 07:25:48,Galway,Enterprise,53,69,4,197.49,Out of Service,On,2537,59,2022,5,27
Server-0085,97.8,21,32,2024-07-23 06:23:31,Carlow,Cloud,75,82,4,107.13,Active,On,2946,8,2024,7,23
Server-0086,99.7,97,25,2023-01-22 00:10:49,Donegal,Backup Server,62,75,0,139.73,Out of Service,On,2645,73,2023,1,22
Server-0087,95.1,95,31,2021-04-25 14:34:21,Mayo,Mainframe,60,87,2,226.85,Under Repair,On,2956,81,2021,4,25
Server-0088,99.6,98,33,2021-01-12 22:24:33,Donegal,Enterprise,88,68,2,68.94,Needs Maintenance,On,3009,2,2021,1,12
Server-0089,99.8,24,37,2025-03-08 03:31:01,Kilkenny,Cloud,83,53,4,136.14,Needs Maintenance,Standby,4236,99,2025,3,8
Server-0090,99.9,70,40,2022-05-20 09:26:14,Mayo,Mainframe,74,57,3,40.89,Active,On,4811,10,2022,5,20
Server-0091,98.9,77,30,2022-05-30 22:27:58,Galway,Mainframe,70,77,3,137.09,Needs Maintenance,On,3426,98,2022,5,30
Server-0092,95.9,43,38,2020-07-05 04:36:59,Carlow,Network Node,85,84,4,155.09,Needs Maintenance,On,4662,4,2020,7,5
Server-0093,99.9,28,25,2021-03-26 04:47:21,Galway,Edge,90,77,4,59.15,Inactive,On,4201,35,2021,3,26
Server-0094,97.1,6,26,2023-02-25 16:56:35,Carlow,Network Node,90,92,4,160.49,Active,On,3004,49,2023,2,25
Server-0095,97.4,96,36,2022-01-31 14:46:31,Cork,Network Node,51,69,2,116.1,Needs Maintenance,On,3522,88,2022,1,31
Server-0096,95.1,80,30,2024-03-12 03:12:01,Limerick,Cloud,74,75,4,203.99,Active,On,3346,19,2024,3,12
Server-0097,96.7,82,26,2023-09-02 12:16:01,Limerick,Mainframe,81,81,3,173.76,Needs Maintenance,On,2644,7,2023,9,2
Server-0098,96.3,24,29,2021-01-13 09:30:02,Mayo,Edge,50,79,1,122.89,Active,On,2684,30,2021,1,13
Server-0099,97.2,7,34,2020-03-12 07:26:46,Donegal,Mainframe,82,71,0,139.6,Needs Maintenance,On,2571,62,2020,3,12
Server-0100,96.3,75,41,2022-01-03 00:04:51,Mayo,Enterprise,55,81,1,227.52,Needs Maintenance,On,4491,23,2022,1,3
Server-0101,97.2,2,41,2021-07-30 12:30:28,Dublin,Cloud,62,69,3,144.24,Needs Maintenance,Standby,3012,70,2021,7,30
Server-0102,95.7,30,30,2020-09-26 01:18:15,Donegal,Network Node,66,63,3,82.72,Out of Service,On,3778,69,2020,9,26
Server-0103,99.8,71,25,2021-01-18 01:52:22,Dublin,Edge,65,61,4,92.89,Out of Service,On,2171,27,2021,1,18
Server-0104,98.3,67,44,2021-05-03 06:38:15,Carlow,Backup Server,87,50,1,140.59,Active,On,4273,22,2021,5,3
Server-0105,99.9,31,42,2021-11-01 01:26:24,Dublin,Edge,71,92,1,206.25,Needs Maintenance,On,3811,13,2021,11,1
Server-0106,95.0,6,33,2025-01-04 20:22:21,Cork,Edge,92,92,2,125.49,Under Repair,On,2591,75,2025,1,4
Server-0107,99.2,13,41,2023-04-30 06:40:36,Limerick,Enterprise,90,72,2,95.28,Out of Service,Standby,3205,21,2023,4,30
Server-0108,95.4,33,43,2021-12-09 15:45:47,Limerick,Network Node,56,77,2,150.45,Needs Maintenance,Standby,3504,32,2021,12,9
Server-0109,98.9,68,41,2024-03-13 18:15:37,Carlow,Edge,51,71,1,166.37,Needs Maintenance,Standby,2439,47,2024,3,13
Server-0110,99.6,11,37,2021-05-15 08:36:52,Donegal,Mainframe,50,59,4,175.8,Needs Maintenance,On,4999,6,2021,5,15
Server-0111,95.7,36,25,2020-02-23 19:30:04,Donegal,Backup Server,68,85,0,64.95,Under Repair,On,3703,62,2020,2,23
Server-0112,99.8,26,37,2022-11-21 18:03:23,Galway,Backup Server,65,74,1,165.79,Under Repair,On,4965,64,2022,11,21
Server-0113,97.2,84,30,2020-05-05 16:21:21,Kilkenny,Edge,83,81,4,163.01,Needs Maintenance,Standby,3070,12,2020,5,5
Server-0114,96.7,76,36,2020-12-12 18:07:49,Dublin,Backup Server,78,72,0,127.98,Needs Maintenance,On,3614,38,2020,12,12
Server-0115,99.0,88,30,2022-01-28 16:59:36,Carlow,Edge,57,68,4,206.8,Needs Maintenance,On,2241,7,2022,1,28
Server-0116,99.3,33,28,2025-02-13 17:00:11,Kilkenny,Edge,75,66,4,172.62,Needs Maintenance,On,2597,63,2025,2,13
Server-0117,99.2,41,34,2024-08-04 06:10:41,Dublin,Enterprise,60,91,2,107.15,Under Repair,On,3057,11,2024,8,4
Server-0118,98.1,63,27,2024-05-24 03:03:21,Cork,Network Node,59,73,1,173.46,Needs Maintenance,On,3272,28,2024,5,24
Server-0119,96.5,47,40,2023-11-15 10:03:45,Cork,Mainframe,53,55,0,55.63,Active,On,2088,29,2023,11,15
Server-0120,96.4,16,25,2023-09-16 11:32:25,Galway,Backup Server,83,68,2,126.12,Needs Maintenance,Standby,4267,40,2023,9,16
Server-0121,96.1,20,32,2020-09-07 03:07:14,Carlow,Cloud,72,68,0,129.53,Inactive,Off,2545,27,2020,9,7
Server-0122,95.7,14,32,2022-09-26 17:36:09,Mayo,Edge,51,94,0,183.05,Needs Maintenance,On,4388,32,2022,9,26
Server-0123,97.0,25,44,2022-06-14 00:32:36,Limerick,Network Node,82,61,3,301.99,Needs Maintenance,On,4714,73,2022,6,14
Server-0124,99.3,32,26,2024-11-20 14:43:57,Carlow,Enterprise,81,81,0,135.33,Under Repair,On,3344,20,2024,11,20
Server-0125,100.0,98,31,2021-08-12 08:57:06,Dublin,Mainframe,69,74,4,223.25,Needs Maintenance,On,2284,87,2021,8,12
Server-0126,98.5,89,32,2023-04-16 17:06:17,Galway,Network Node,62,81,0,217.89,Needs Maintenance,On,4039,44,2023,4,16
Server-0127,95.8,11,32,2021-10-08 19:38:09,Kilkenny,Edge,52,53,2,83.51,Active,On,3567,96,2021,10,8
Server-0128,98.4,21,44,2020-09-12 22:20:48,Limerick,Network Node,78,88,3,216.96,Active,On,3592,57,2020,9,12
Server-0129,96.4,73,25,2023-12-13 04:36:33,Donegal,Enterprise,67,51,3,114.76,Out of Service,On,3420,55,2023,12,13
Server-0130,98.6,72,37,2023-12-27 11:54:59,Carlow,Cloud,55,72,4,150.46,Needs Maintenance,Standby,4252,2,2023,12,27
Server-0131,96.2,99,33,2024-11-04 16:20:54,Carlow,Enterprise,63,56,2,264.83,Active,Standby,4828,64,2024,11,4
Server-0132,95.8,97,41,2020-01-15 06:30:57,Carlow,Backup Server,53,69,3,175.84,Needs Maintenance,On,4692,44,2020,1,15
Server-0133,98.2,84,32,2022-03-04 02:08:54,Galway,Backup Server,75,85,3,117.85,Retired,On,2889,73,2022,3,4
Server-0134,98.4,96,35,2022-08-20 06:26:42,Kilkenny,Cloud,61,66,3,172.27,Active,Off,2564,51,2022,8,20
Server-0135,95.9,73,29,2022-06-12 09:03:13,Limerick,Edge,87,71,1,73.54,Needs Maintenance,On,3353,59,2022,6,12
Server-0136,97.6,44,37,2021-09-02 01:39:10,Cork,Mainframe,77,56,2,203.1,Inactive,On,3390,76,2021,9,2
Server-0137,99.4,6,36,2022-09-27 05:14:58,Limerick,Backup Server,90,89,3,117.82,Needs Maintenance,On,4576,34,2022,9,27
Server-0138,98.4,62,32,2020-09-18 03:09:42,Donegal,Enterprise,55,72,2,27.05,Retired,On,4689,19,2020,9,18
Server-0139,98.4,27,25,2022-10-22 04:21:54,Limerick,Mainframe,87,63,4,131.99,Needs Maintenance,On,2481,91,2022,10,22
Server-0140,98.6,81,27,2023-07-06 19:38:50,Cork,Enterprise,93,59,2,124.29,Retired,On,3871,3,2023,7,6
Server-0141,96.8,78,40,2021-06-16 01:55:17,Limerick,Mainframe,53,50,4,174.94,Under Repair,Standby,3542,57,2021,6,16
Server-0142,96.0,39,30,2023-02-11 09:59:07,Kilkenny,Cloud,57,66,1,92.33,Needs Maintenance,Standby,4465,48,2023,2,11
Server-0143,98.7,93,35,2020-12-03 09:15:57,Limerick,Network Node,93,89,4,167.43,Needs Maintenance,Standby,3177,56,2020,12,3
Server-0144,99.1,88,29,2022-11-07 11:55:00,Kilkenny,Network Node,80,63,4,115.97,Out of Service,Off,2892,19,2022,11,7
Server-0145,99.5,60,31,2023-11-11 22:15:25,Limerick,Cloud,81,66,0,146.48,Needs Maintenance,On,3337,56,2023,11,11
Server-0146,99.0,49,39,2024-05-01 10:34:44,Kilkenny,Cloud,53,59,4,203.32,Active,On,4931,65,2024,5,1
Server-0147,96.7,93,37,2021-10-08 11:51:03,Mayo,Edge,77,67,1,204.95,Needs Maintenance,Standby,3513,55,2021,10,8
Server-0148,97.3,79,29,2022-08-04 21:19:48,Mayo,Backup Server,56,84,4,213.78,Active,On,2882,95,2022,8,4
Server-0149,98.9,9,31,2025-03-21 23:50:57,Dublin,Backup Server,58,59,4,111.92,Needs Maintenance,Off,3173,78,2025,3,21
Server-0150,97.7,24,43,2020-11-29 18:11:05,Carlow,Enterprise,52,92,1,164.86,Needs Maintenance,Standby,3402,33,2020,11,29
Server-0151,97.8,11,30,2024-03-21 10:34:24,Dublin,Mainframe,82,69,4,167.01,Needs Maintenance,On,3118,29,2024,3,21
Server-0152,99.7,0,42,2024-09-30 11:00:09,Mayo,Cloud,69,65,4,212.62,Needs Maintenance,Off,4448,75,2024,9,30
Server-0153,99.8,72,25,2021-02-09 08:06:35,Mayo,Mainframe,68,66,2,133.61,Active,On,2958,64,2021,2,9
Server-0154,98.8,83,42,2020-07-11 08:52:08,Kilkenny,Enterprise,65,88,0,75.55,Needs Maintenance,On,4164,21,2020,7,11
Server-0155,99.0,37,44,2024-11-27 04:14:49,Dublin,Mainframe,52,77,4,192.45,Retired,On,2193,70,2024,11,27
Server-0156,96.3,81,35,2021-02-20 17:30:35,Carlow,Backup Server,55,58,3,217.05,Active,On,2655,19,2021,2,20
Server-0157,98.0,92,34,2024-09-17 19:01:48,Kilkenny,Network Node,87,69,1,165.86,Active,On,4486,14,2024,9,17
Server-0158,97.4,36,30,2020-12-15 06:22:25,Galway,Edge,78,55,3,95.36,Needs Maintenance,Standby,2938,49,2020,12,15
Server-0159,95.2,58,29,2022-12-21 14:36:21,Dublin,Enterprise,83,62,3,258.28,Needs Maintenance,Off,4505,18,2022,12,21
Server-0160,99.4,11,26,2023-11-06 19:58:12,Galway,Enterprise,63,58,3,156.01,Active,On,2137,59,2023,11,6
Server-0161,96.5,36,40,2020-10-12 11:20:32,Mayo,Edge,75,82,3,117.01,Active,On,2948,58,2020,10,12
Server-0162,99.7,95,27,2021-09-28 01:29:25,Cork,Backup Server,83,84,1,204.87,Under Repair,On,2827,2,2021,9,28
Server-0163,98.2,11,26,2023-09-19 03:03:16,Limerick,Backup Server,58,71,0,233.24,Inactive,Standby,4136,84,2023,9,19
Server-0164,99.1,55,34,2023-04-01 23:14:16,Donegal,Enterprise,82,72,3,69.67,Active,Standby,4421,2,2023,4,1
Server-0165,97.3,38,26,2022-10-11 02:32:13,Limerick,Edge,68,74,2,176.88,Needs Maintenance,On,3634,50,2022,10,11
Server-0166,95.9,75,44,2022-09-05 06:12:12,Donegal,Backup Server,58,85,4,214.87,Active,On,2782,3,2022,9,5
Server-0167,99.4,55,36,2024-03-23 01:32:57,Donegal,Backup Server,88,56,3,144.8,Active,On,4478,39,2024,3,23
Server-0168,98.9,96,26,2022-07-30 22:26:24,Donegal,Cloud,55,64,3,157.4,Retired,On,4294,82,2022,7,30
Server-0169,98.8,55,39,2023-04-28 20:58:30,Kilkenny,Cloud,72,78,4,143.52,Out of Service,On,4837,21,2023,4,28
Server-0170,96.1,31,42,2021-09-25 02:48:37,Galway,Backup Server,94,57,4,226.76,Active,On,4083,30,2021,9,25
Server-0171,97.6,32,27,2024-05-21 07:57:48,Cork,Mainframe,58,86,1,94.82,Needs Maintenance,Off,4069,87,2024,5,21
Server-0172,96.6,23,25,2020-08-16 23:21:07,Galway,Network Node,75,59,4,137.12,Out of Service,On,3682,57,2020,8,16
Server-0173,98.1,30,29,2023-03-08 14:00:54,Dublin,Network Node,59,59,0,257.44,Needs Maintenance,On,4046,9,2023,3,8
Server-0174,97.7,61,35,2024-07-25 14:34:22,Mayo,Enterprise,55,94,2,118.97,Active,Standby,4815,3,2024,7,25
Server-0175,95.9,93,44,2024-02-11 11:35:26,Carlow,Backup Server,63,62,3,72.93,Inactive,On,3365,90,2024,2,11
Server-0176,98.1,89,35,2024-08-24 23:53:13,Kilkenny,Enterprise,66,68,1,149.47,Active,On,3473,20,2024,8,24
Server-0177,95.2,1,25,2023-08-25 12:47:25,Dublin,Mainframe,53,72,3,204.0,Needs Maintenance,On,4574,44,2023,8,25
Server-0178,95.4,51,31,2021-06-18 23:19:49,Galway,Network Node,63,64,0,148.12,Active,On,4332,23,2021,6,18
Server-0179,95.9,80,37,2022-12-26 17:18:51,Dublin,Cloud,73,66,3,125.71,Inactive,Standby,3678,50,2022,12,26
Server-0180,97.9,0,28,2020-08-23 04:58:20,Dublin,Cloud,62,59,2,175.04,Under Repair,On,3898,97,2020,8,23
Server-0181,98.8,51,43,2025-02-11 01:50:16,Dublin,Edge,86,89,0,274.51,Needs Maintenance,On,4129,87,2025,2,11
Server-0182,98.9,94,35,2024-08-07 07:30:57,Cork,Cloud,50,82,3,137.19,Needs Maintenance,On,2329,37,2024,8,7
Server-0183,96.4,92,27,2020-03-31 12:32:07,Cork,Network Node,87,94,4,253.61,Under Repair,On,3234,60,2020,3,31
Server-0184,96.9,74,29,2023-04-05 22:45:00,Limerick,Edge,82,67,4,170.66,Inactive,On,2624,5,2023,4,5
Server-0185,96.2,3,31,2020-11-12 20:10:20,Carlow,Enterprise,66,53,2,106.76,Needs Maintenance,On,2956,78,2020,11,12
Server-0186,95.2,99,25,2021-08-14 22:19:17,Donegal,Mainframe,63,53,0,233.15,Retired,On,3353,38,2021,8,14
Server-0187,97.5,7,35,2022-09-30 19:38:25,Kilkenny,Network Node,66,64,1,132.57,Needs Maintenance,Off,2952,87,2022,9,30
Server-0188,97.7,99,27,2022-09-11 02:01:33,Kilkenny,Cloud,65,80,4,72.12,Active,On,3370,48,2022,9,11
Server-0189,99.7,46,43,2020-11-23 11:18:14,Galway,Backup Server,56,51,4,164.69,Active,Standby,4965,76,2020,11,23
Server-0190,98.6,20,39,2021-07-28 18:11:35,Limerick,Edge,91,61,3,126.72,Needs Maintenance,On,3904,56,2021,7,28
Server-0191,99.7,74,34,2021-03-28 00:52:25,Limerick,Backup Server,61,82,0,240.75,Inactive,Off,4584,81,2021,3,28
Server-0192,96.4,11,27,2022-04-07 18:58:22,Galway,Cloud,72,69,4,170.28,Needs Maintenance,Standby,4370,77,2022,4,7
Server-0193,98.6,89,31,2024-06-11 16:43:34,Cork,Backup Server,89,51,3,123.27,Needs Maintenance,On,3672,80,2024,6,11
Server-0194,98.0,90,37,2021-06-28 11:29:40,Cork,Enterprise,55,88,1,193.46,Retired,Off,2929,62,2021,6,28
Server-0195,96.5,33,30,2024-07-25 14:06:43,Carlow,Cloud,92,50,1,150.14,Inactive,On,2480,91,2024,7,25
Server-0196,96.1,73,29,2021-11-21 05:24:01,Galway,Backup Server,87,69,4,166.26,Under Repair,On,4710,57,2021,11,21
Server-0197,96.5,72,33,2020-06-15 19:05:07,Galway,Cloud,79,73,4,30.8,Active,On,2137,24,2020,6,15
Server-0198,99.9,76,36,2023-08-18 06:21:58,Limerick,Mainframe,71,63,4,92.41,Active,On,2892,37,2023,8,18
Server-0199,95.1,75,42,2025-03-16 09:49:00,Carlow,Backup Server,50,86,0,161.56,Needs Maintenance,On,2685,60,2025,3,16
Server-0200,99.5,80,32,2022-01-15 02:54:38,Kilkenny,Cloud,52,90,4,85.92,Active,Standby,3597,73,2022,1,15
Server-0201,98.9,67,44,2022-09-13 17:23:54,Carlow,Backup Server,89,78,3,120.28,Needs Maintenance,On,4598,17,2022,9,13
Server-0202,97.7,63,30,2020-04-24 00:25:58,Limerick,Mainframe,89,70,1,196.35,Active,On,2320,43,2020,4,24
