Server ID,Energy Consumption (kWh),Cooling Efficiency (%),Power Usage Effectiveness (PUE),Timestamp,Server Location,Server Type,Energy Source,Cooling System Type,Energy Cost (€),Carbon Emissions (kg CO2),Maintenance Status,Energy Savings Target (%),Peak Energy Usage (kWh),Off-Peak Energy Usage (kWh),Year,Month,Day
Server-0049,495.84,82,1.97,2024-09-05 12:06:22,Dublin,Backup Server,Solar,Phase Change Cooling,237.77,89.94,Under Repair,21,1041.0,178.0,2024,9,5
Server-0050,444.28,82,1.79,2024-09-02 02:50:05,London,Network Node,Wind,Evaporative Cooling,123.73,333.44,Out of Service,15,893.0,154.0,2024,9,2
Server-0051,475.84,63,1.96,2022-03-09 09:03:12,Stockholm,Cloud,Grid,Heat Pipe Cooling,152.0,553.57,Active,29,1039.0,286.0,2022,3,9
Server-0052,560.76,87,1.71,2021-03-12 10:55:31,Germany,Enterprise,Biomass,Compressor Cooling,44.55,611.5,Out of Service,28,975.0,158.0,2021,3,12
Server-0053,685.8,59,1.08,2025-02-08 05:49:27,London,Backup Server,Wind,Heat Pipe Cooling,120.89,153.94,Under Repair,18,1029.0,283.0,2025,2,8
Server-0054,696.67,77,1.4,2020-09-23 13:24:35,Amsterdam,Enterprise,Battery Backup,Evaporative Cooling,133.17,196.19,Under Repair,18,1026.0,225.0,2020,9,23
Server-0055,614.21,63,1.65,2022-09-24 15:04:53,London,Edge,Battery Backup,Peltier Cooling,112.4,175.61,Out of Service,25,999.0,210.0,2022,9,24
Server-0056,311.0,85,1.35,2022-10-13 04:51:17,Dublin,Cloud,Wind,Evaporative Cooling,110.55,344.87,Retired,15,965.0,227.0,2022,10,13
Server-0057,445.94,87,1.27,2020-09-15 13:13:55,Stockholm,Backup Server,Wind,Liquid Cooling,129.64,456.29,Active,25,1020.0,276.0,2020,9,15
Server-0058,458.86,65,1.58,2024-04-05 15:12:44,Germany,Mainframe,Solar,Compressor Cooling,100.25,128.72,Active,26,958.0,69.0,2024,4,5
Server-0059,401.43,70,1.93,2024-05-13 23:27:10,Paris,Backup Server,Solar,Peltier Cooling,105.04,488.24,Retired,29,1053.0,218.0,2024,5,13
Server-0060,551.35,77,1.03,2024-01-20 14:37:05,Germany,Edge,Grid,Phase Change Cooling,118.71,126.75,Out of Service,29,964.0,207.0,2024,1,20
Server-0061,260.85,82,1.77,2023-06-03 09:37:45,London,Mainframe,Wind,Phase Change Cooling,73.57,682.0,Under Repair,18,1001.0,209.0,2023,6,3
Server-0062,754.03,55,1.72,2021-09-01 04:44:43,Paris,Backup Server,Wind,Thermoelectric Cooling,53.5,161.19,Needs Maintenance,20,963.0,247.0,2021,9,1
Server-0063,679.28,90,1.96,2020-04-09 09:49:37,Berlin,Mainframe,Grid,Evaporative Cooling,85.87,233.47,Inactive,16,1008.0,169.0,2020,4,9
Server-0064,571.73,64,1.93,2022-09-28 17:09:45,Vienna,Network Node,Grid,Evaporative Cooling,105.49,62.06,Inactive,23,948.0,142.0,2022,9,28
Server-0065,490.68,93,1.76,2022-09-12 15:57:01,London,Mainframe,Wind,Compressor Cooling,152.33,62.53,Out of Service,22,960.0,131.0,2022,9,12
Server-0066,684.33,52,1.52,2024-10-25 18:49:01,Rome,Backup Server,Wind,Liquid Cooling,98.39,147.31,Needs Maintenance,33,1115.0,155.0,2024,10,25
Server-0067,603.41,92,1.2,2021-11-28 23:17:34,London,Mainframe,Grid,Liquid Cooling,67.94,161.09,Retired,22,1042.0,234.0,2021,11,28
Server-0068,666.0,84,1.55,2023-07-16 03:15:35,Berlin,Cloud,Battery Backup,Liquid Cooling,88.98,27.04,Active,34,1018.0,225.0,2023,7,16
Server-0069,491.14,63,1.77,2021-01-29 21:31:57,Germany,Network Node,Wind,Liquid Cooling,106.06,170.79,Inactive,24,1026.0,244.0,2021,1,29
Server-0070,768.4,51,1.9,2021-02-25 16:27:02,Amsterdam,Network Node,Solar,Peltier Cooling,166.51,414.42,Inactive,31,1015.0,177.0,2021,2,25
Server-0071,675.03,78,1.79,2022-11-01 16:14:51,Paris,Edge,Wind,Fan Cooling,187.64,556.94,Active,33,996.0,179.0,2022,11,1
Server-0072,576.43,53,1.2,2023-03-22 17:49:49,Rome,Network Node,Wind,Compressor Cooling,91.93,88.7,Out of Service,15,1038.0,283.0,2023,3,22
Server-0073,688.4,75,1.6,2021-09-29 20:10:31,Vienna,Enterprise,Solar,Compressor Cooling,210.99,135.9,Under Repair,29,959.0,251.0,2021,9,29
Server-0074,437.13,61,1.33,2024-05-11 10:52:20,Berlin,Cloud,Grid,Compressor Cooling,145.06,406.84,Active,25,1080.0,238.0,2024,5,11
Server-0075,324.87,51,1.01,2021-11-10 21:38:23,Vienna,Edge,Grid,Peltier Cooling,85.36,95.99,Out of Service,21,1006.0,109.0,2021,11,10
Server-0076,548.23,66,1.2,2022-11-27 06:23:13,Lisbon,Enterprise,Hydro,Phase Change Cooling,137.5,232.23,Active,30,1040.0,298.0,2022,11,27
Server-0077,491.44,84,1.11,2022-03-18 04:06:12,Rome,Mainframe,Battery Backup,Peltier Cooling,159.81,479.78,Retired,17,1079.0,195.0,2022,3,18
Server-0078,470.34,59,1.84,2023-04-20 13:46:15,Rome,Enterprise,Wind,Liquid Cooling,175.22,133.59,Active,26,1025.0,209.0,2023,4,20
Server-0079,682.45,71,1.26,2023-10-11 18:22:32,Lisbon,Edge,Grid,Liquid Cooling,46.97,139.77,Active,30,959.0,222.0,2023,10,11
Server-0080,525.07,90,1.28,2024-03-17 18:18:35,Rome,Network Node,Solar,Phase Change Cooling,94.12,176.1,Out of Service,34,1061.0,208.0,2024,3,17
Server-0081,539.54,92,1.96,2023-07-16 11:14:04,London,Cloud,Wind,Thermoelectric Cooling,109.62,123.51,Active,33,1085.0,191.0,2023,7,16
Server-0082,450.94,70,1.38,2022-03-02 14:20:24,Lisbon,Edge,Wind,Peltier Cooling,79.97,410.42,Needs Maintenance,16,903.0,207.0,2022,3,2
Server-0083,632.17,64,1.01,2021-08-22 01:58:40,Germany,Enterprise,Wind,Phase Change Cooling,54.1,414.65,Under Repair,22,995.0,232.0,2021,8,22
Server-0084,605.28,84,1.28,2022-02-16 06:57:28,Lisbon,Enterprise,Solar,Evaporative Cooling,48.2,139.21,Inactive,33,1015.0,242.0,2022,2,16
Server-0085,631.05,70,1.12,2023-01-10 19:02:47,Germany,Edge,Wind,Fan Cooling,96.33,72.17,Inactive,25,987.0,261.0,2023,1,10
Server-0086,425.41,70,1.1,2022-09-15 08:34:24,Amsterdam,Backup Server,Hydro,Phase Change Cooling,160.22,372.76,Inactive,25,938.0,145.0,2022,9,15
Server-0087,695.61,70,1.08,2021-07-11 13:49:47,Dublin,Backup Server,Battery Backup,Compressor Cooling,74.72,168.44,Retired,16,956.0,173.0,2021,7,11
Server-0088,775.82,93,1.59,2020-10-01 13:08:55,Rome,Edge,Hydro,Fan Cooling,58.26,360.6,Needs Maintenance,19,908.0,243.0,2020,10,1
Server-0089,626.31,81,1.19,2021-11-30 21:53:02,Paris,Backup Server,Grid,Peltier Cooling,98.59,107.28,Needs Maintenance,19,1048.0,121.0,2021,11,30
Server-0090,378.61,54,1.36,2020-05-27 06:07:22,Paris,Edge,Solar,Phase Change Cooling,93.87,483.96,Active,24,1069.0,208.0,2020,5,27
Server-0091,379.67,88,1.86,2021-07-17 21:00:50,Dublin,Network Node,Grid,Thermoelectric Cooling,88.87,376.54,Active,16,1068.0,161.0,2021,7,17
Server-0092,443.69,58,1.42,2022-08-20 07:12:32,Stockholm,Edge,Grid,Compressor Cooling,48.55,304.17,Needs Maintenance,29,999.0,228.0,2022,8,20
Server-0093,415.34,67,1.92,2023-03-31 05:33:11,London,Mainframe,Wind,Liquid Cooling,82.02,278.09,Inactive,32,1014.0,158.0,2023,3,31
Server-0094,489.34,70,1.5,2022-11-23 08:30:24,Rome,Cloud,Wind,Peltier Cooling,217.13,122.98,Needs Maintenance,26,1053.0,182.0,2022,11,23
Server-0095,594.87,57,1.4,2021-07-27 22:17:56,Rome,Cloud,Solar,Liquid Cooling,152.41,100.19,Out of Service,24,988.0,185.0,2021,7,27
Server-0096,543.49,93,1.75,2023-07-20 08:06:33,Dublin,Mainframe,Grid,Compressor Cooling,172.95,476.42,Out of Service,21,953.0,212.0,2023,7,20
Server-0097,530.34,83,1.07,2025-02-09 01:15:52,Germany,Enterprise,Solar,Thermoelectric Cooling,65.53,289.4,Needs Maintenance,29,971.0,248.0,2025,2,9
Server-0098,463.82,59,1.09,2021-08-17 02:42:35,London,Enterprise,Solar,Heat Pipe Cooling,58.47,406.31,Needs Maintenance,29,1009.0,252.0,2021,8,17
Server-0099,488.92,90,1.65,2022-07-03 14:41:53,Berlin,Enterprise,Solar,Peltier Cooling,147.04,140.74,Retired,26,964.0,210.0,2022,7,3
Server-0100,619.49,73,1.49,2024-06-24 00:17:52,Paris,Enterprise,Solar,Liquid Cooling,149.53,148.73,Out of Service,34,1024.0,145.0,2024,6,24
Server-0101,198.21,89,1.79,2020-02-22 14:39:43,Berlin,Network Node,Solar,Thermoelectric Cooling,130.81,183.86,Retired,29,932.0,329.0,2020,2,22
Server-0102,498.29,73,1.92,2021-09-22 12:47:35,Lisbon,Mainframe,Solar,Thermoelectric Cooling,206.48,74.28,Active,17,988.0,196.0,2021,9,22
Server-0103,543.2,81,1.39,2023-12-02 13:05:47,Germany,Cloud,Geothermal,Evaporative Cooling,87.88,147.8,Under Repair,30,1020.0,214.0,2023,12,2
Server-0104,617.54,82,1.6,2021-09-16 06:38:47,Stockholm,Mainframe,Grid,Phase Change Cooling,70.15,445.09,Out of Service,33,1007.0,212.0,2021,9,16
Server-0105,348.49,87,1.5,2023-05-13 23:14:45,Berlin,Cloud,Grid,Liquid Cooling,157.98,84.26,Needs Maintenance,21,963.0,218.0,2023,5,13
Server-0106,340.56,93,1.98,2021-08-30 03:22:18,Paris,Enterprise,Solar,Evaporative Cooling,156.02,134.77,Active,31,1037.0,158.0,2021,8,30
Server-0107,587.59,83,1.83,2024-09-21 17:30:56,Paris,Network Node,Grid,Thermoelectric Cooling,86.3,109.27,Inactive,18,1013.0,222.0,2024,9,21
Server-0108,214.33,60,1.91,2021-01-29 01:07:46,Paris,Edge,Solar,Fan Cooling,149.46,177.57,Needs Maintenance,29,896.0,291.0,2021,1,29
Server-0109,699.83,80,1.25,2024-08-27 17:37:02,Amsterdam,Edge,Battery Backup,Peltier Cooling,47.37,311.04,Under Repair,23,1023.0,100.0,2024,8,27
Server-0110,533.99,67,1.77,2023-07-03 19:43:25,Rome,Backup Server,Hydro,Liquid Cooling,84.95,350.79,Out of Service,31,979.0,202.0,2023,7,3
Server-0111,733.81,72,1.27,2024-12-15 03:22:42,Berlin,Enterprise,Battery Backup,Phase Change Cooling,123.03,332.21,Needs Maintenance,15,974.0,144.0,2024,12,15
Server-0112,336.94,71,1.21,2021-06-20 04:03:28,Lisbon,Enterprise,Wind,Liquid Cooling,80.62,93.57,Under Repair,16,959.0,249.0,2021,6,20
Server-0113,434.55,92,1.94,2024-08-28 14:24:20,Berlin,Mainframe,Battery Backup,Phase Change Cooling,83.77,200.69,Active,21,950.0,257.0,2024,8,28
Server-0114,138.82,67,1.02,2022-11-08 06:49:34,Lisbon,Network Node,Battery Backup,Fan Cooling,190.85,281.31,Active,28,1010.0,194.0,2022,11,8
Server-0115,380.65,89,1.97,2020-10-28 15:47:25,Paris,Network Node,Grid,Phase Change Cooling,105.99,130.39,Out of Service,19,1027.0,203.0,2020,10,28
Server-0116,472.42,90,1.15,2023-02-04 01:19:04,London,Mainframe,Solar,Evaporative Cooling,178.2,406.77,Inactive,18,1008.0,156.0,2023,2,4
Server-0117,205.59,88,1.82,2023-02-25 10:24:14,Lisbon,Network Node,Grid,Heat Pipe Cooling,96.76,155.46,Active,27,1047.0,82.0,2023,2,25
Server-0118,440.81,69,1.28,2023-06-17 15:11:53,Germany,Network Node,Wind,Peltier Cooling,182.6,493.11,Needs Maintenance,24,1029.0,186.0,2023,6,17
Server-0119,201.9,62,1.35,2020-04-01 08:02:19,Rome,Edge,Wind,Phase Change Cooling,35.27,140.02,Active,27,900.0,189.0,2020,4,1
Server-0120,461.38,94,1.22,2021-12-07 20:10:26,Rome,Network Node,Wind,Peltier Cooling,124.36,464.62,Active,26,954.0,202.0,2021,12,7
Server-0121,672.07,50,1.59,2024-04-11 09:28:46,Amsterdam,Enterprise,Grid,Phase Change Cooling,170.88,433.96,Inactive,32,1059.0,36.0,2024,4,11
Server-0122,494.75,53,1.35,2022-10-29 04:56:15,Vienna,Edge,Grid,Peltier Cooling,45.38,83.7,Inactive,25,937.0,114.0,2022,10,29
Server-0123,748.73,73,1.66,2021-07-21 06:08:54,Berlin,Enterprise,Solar,Evaporative Cooling,131.44,417.91,Inactive,32,863.0,126.0,2021,7,21
Server-0124,617.94,85,1.02,2025-02-25 12:56:16,Dublin,Enterprise,Wind,Thermoelectric Cooling,169.21,125.45,Active,26,1092.0,204.0,2025,2,25
Server-0125,702.22,85,1.06,2020-04-02 07:16:19,Amsterdam,Mainframe,Hydro,Peltier Cooling,115.04,311.46,Active,15,1015.0,229.0,2020,4,2
Server-0126,385.26,94,1.1,2020-02-08 13:17:48,Dublin,Backup Server,Battery Backup,Compressor Cooling,190.99,125.46,Needs Maintenance,30,966.0,142.0,2020,2,8
Server-0127,381.63,51,1.42,2021-03-02 01:14:07,Vienna,Network Node,Solar,Compressor Cooling,141.39,415.19,Needs Maintenance,28,958.0,186.0,2021,3,2
Server-0128,551.84,77,1.81,2021-02-02 11:33:23,Rome,Network Node,Solar,Compressor Cooling,93.37,352.29,Inactive,15,1031.0,171.0,2021,2,2
Server-0129,263.34,75,1.89,2024-06-06 22:19:25,Germany,Network Node,Battery Backup,Phase Change Cooling,83.78,486.58,Needs Maintenance,21,1024.0,302.0,2024,6,6
Server-0130,570.67,72,1.24,2021-12-13 10:05:24,Paris,Network Node,Wind,Fan Cooling,97.03,137.79,Needs Maintenance,33,1016.0,181.0,2021,12,13
Server-0131,451.41,64,1.57,2024-10-24 22:28:12,Paris,Edge,Battery Backup,Evaporative Cooling,86.68,157.78,Needs Maintenance,19,991.0,179.0,2024,10,24
Server-0132,699.5,85,1.77,2020-10-02 23:46:02,Lisbon,Cloud,Geothermal,Phase Change Cooling,108.09,172.12,Needs Maintenance,31,936.0,159.0,2020,10,2
Server-0133,601.93,76,1.29,2022-02-12 13:16:12,Amsterdam,Enterprise,Grid,Peltier Cooling,97.4,330.48,Active,24,998.0,105.0,2022,2,12
Server-0134,664.51,55,1.41,2020-09-23 04:03:40,Vienna,Backup Server,Grid,Liquid Cooling,107.13,108.32,Active,18,1053.0,232.0,2020,9,23
Server-0135,386.87,84,1.52,2021-12-20 19:12:31,Germany,Backup Server,Solar,Phase Change Cooling,106.84,168.38,Needs Maintenance,28,973.0,187.0,2021,12,20
Server-0136,657.23,88,1.13,2024-12-12 17:41:26,Paris,Cloud,Solar,Compressor Cooling,58.62,288.42,Needs Maintenance,20,1030.0,181.0,2024,12,12
Server-0137,716.71,87,1.03,2020-12-28 03:16:02,Lisbon,Cloud,Grid,Evaporative Cooling,162.93,121.31,Needs Maintenance,26,980.0,209.0,2020,12,28
Server-0138,494.19,84,1.15,2024-12-05 13:40:37,Berlin,Cloud,Biomass,Liquid Cooling,100.41,106.72,Active,34,1040.0,121.0,2024,12,5
Server-0139,389.1,85,1.63,2020-09-28 20:23:07,Rome,Edge,Battery Backup,Thermoelectric Cooling,96.08,87.85,Out of Service,26,951.0,289.0,2020,9,28
Server-0140,391.73,59,1.07,2021-02-21 18:04:40,Berlin,Cloud,Wind,Evaporative Cooling,89.31,431.02,Needs Maintenance,15,1001.0,109.0,2021,2,21
Server-0141,685.85,79,1.19,2022-08-04 06:07:39,Rome,Edge,Grid,Fan Cooling,125.45,114.97,Inactive,26,1023.0,289.0,2022,8,4
Server-0142,902.65,90,1.34,2024-03-18 01:22:51,Berlin,Mainframe,Hydro,Compressor Cooling,136.79,90.22,Needs Maintenance,20,966.0,199.0,2024,3,18
Server-0143,352.75,87,1.08,2022-05-22 21:42:05,Lisbon,Mainframe,Hydro,Heat Pipe Cooling,128.08,159.69,Needs Maintenance,18,1018.0,181.0,2022,5,22
Server-0144,341.22,78,1.19,2021-02-15 14:44:13,Germany,Backup Server,Grid,Phase Change Cooling,93.32,226.0,Active,31,999.0,234.0,2021,2,15
Server-0145,638.21,92,1.91,2021-08-11 20:39:43,Amsterdam,Mainframe,Wind,Peltier Cooling,76.93,119.46,Active,24,998.0,183.0,2021,8,11
Server-0146,386.91,88,1.02,2022-11-14 10:54:19,Rome,Edge,Battery Backup,Compressor Cooling,124.28,475.16,Needs Maintenance,33,966.0,247.0,2022,11,14
Server-0147,652.75,53,1.65,2020-09-30 14:53:42,Vienna,Edge,Biomass,Compressor Cooling,90.48,159.31,Needs Maintenance,25,1050.0,215.0,2020,9,30
Server-0148,569.8,54,1.38,2024-05-01 05:49:01,Dublin,Enterprise,Solar,Fan Cooling,131.72,423.1,Needs Maintenance,15,953.0,236.0,2024,5,1
Server-0149,496.4,53,1.67,2023-01-05 04:48:00,Germany,Cloud,Wind,Liquid Cooling,77.46,92.0,Out of Service,19,1014.0,252.0,2023,1,5
Server-0150,566.19,85,1.59,2023-02-01 22:22:18,Germany,Network Node,Biomass,Compressor Cooling,119.24,131.02,Active,28,958.0,191.0,2023,2,1
Server-0151,557.03,94,1.22,2020-01-26 20:50:00,Lisbon,Network Node,Battery Backup,Liquid Cooling,29.81,415.01,Needs Maintenance,27,997.0,248.0,2020,1,26
Server-0152,473.06,65,1.85,2020-10-01 04:22:27,Dublin,Cloud,Grid,Liquid Cooling,83.8,325.29,Retired,16,1032.0,226.0,2020,10,1
Server-0153,236.55,74,1.49,2020-12-11 14:12:54,Stockholm,Network Node,Grid,Fan Cooling,59.56,139.12,Needs Maintenance,28,986.0,267.0,2020,12,11
Server-0154,526.8,63,1.82,2021-06-18 07:01:43,Germany,Network Node,Battery Backup,Compressor Cooling,93.0,69.58,Needs Maintenance,20,846.0,182.0,2021,6,18
Server-0155,735.96,60,1.41,2024-08-21 15:15:54,Vienna,Network Node,Wind,Phase Change Cooling,85.75,59.25,Needs Maintenance,20,933.0,268.0,2024,8,21
Server-0156,258.68,78,1.98,2024-09-16 09:43:16,Germany,Backup Server,Battery Backup,Fan Cooling,117.79,100.92,Needs Maintenance,15,892.0,161.0,2024,9,16
Server-0157,355.13,83,1.77,2020-09-02 09:54:56,London,Edge,Grid,Fan Cooling,149.66,150.99,Needs Maintenance,34,1003.0,100.0,2020,9,2
Server-0158,564.02,71,1.97,2022-08-23 00:48:57,Rome,Edge,Solar,Heat Pipe Cooling,61.49,157.26,Under Repair,25,1000.0,132.0,2022,8,23
Server-0159,505.79,63,1.51,2023-06-02 12:34:03,Paris,Edge,Battery Backup,Phase Change Cooling,107.0,231.09,Retired,18,982.0,183.0,2023,6,2
Server-0160,561.68,73,1.47,2020-09-25 23:01:50,Germany,Cloud,Hydro,Fan Cooling,145.38,540.14,Active,20,969.0,213.0,2020,9,25
Server-0161,395.1,88,1.76,2021-06-16 02:05:57,Germany,Mainframe,Wind,Heat Pipe Cooling,87.08,385.12,Active,16,1011.0,201.0,2021,6,16
Server-0162,674.37,75,1.88,2024-04-03 04:40:15,Lisbon,Backup Server,Wind,Thermoelectric Cooling,195.42,200.79,Active,34,928.0,239.0,2024,4,3
